trz conc.,1 ng/mL,,10ng/mL,,100ng/mL,,1ug/mL,
minutes,,,,,,,,
0,0,,0,,0,,0,
15,0.03,,-0.00687,,-0.018,,-0.01805,
30,0.065772,,0.012969,,0.034076,,0.032886,
45,0.052034,,0.010925,,0.028849,,0.026017,
60,0.173428,,0.038406,,0.101867,,0.086714,
75,0.254972,,0.059733,,0.159227,,0.127486,
90,0.36046,,0.089633,,0.240284,,0.18023,
105,0.345422,,0.091516,,0.246912,,0.172711,
120,0.362642,,0.102808,,0.279429,,0.181321,
135,0.316434,,0.096464,,0.26444,,0.158217,
150,0.277224,,0.091395,,0.253069,,0.138612,
165,0.223668,,0.080277,,0.224956,,0.111834,
180,0.195,,0.04305,,0.1246,,0.049337,
195,0.178,,0.000225,,0.000632,,0.000314,
210,0.176418,,-0.02495,,-0.06839,,-0.04092,
225,0.161353,,-0.05974,,-0.16119,,-0.11275,
240,0.148876,0.05708,-0.0807,0.029081,-0.21512,0.034816,-0.17224,0.151512
255,0.134885,,-0.10034,,-0.26496,,-0.23895,
270,0.116715,,-0.12387,,-0.32461,,-0.32559,
285,0.104905,,-0.13281,,-0.34587,,-0.3819,
300,0.092734,,-0.14089,,-0.36498,,-0.43993,
315,0.078779,,-0.15031,,-0.38765,,-0.50647,
330,0.066323,,-0.15646,,-0.40197,,-0.56586,
345,0.05677,,-0.15575,,-0.39853,,-0.61141,
360,0.056,0.05104,-0.1645,0.077792,-0.42,0.111936,-0.67622,0.11
375,0.030631,,-0.17673,,-0.44627,,-0.71016,
390,0.020717,,-0.19235,,-0.48017,,-0.75512,
405,0.014232,,-0.20442,,-0.50428,,-0.7836,
420,0.007584,,-0.21725,,-0.52937,,-0.81267,
435,-0.0007,,-0.23278,,-0.56002,,-0.84924,
450,-0.0281,,-0.2479,,-0.58853,,-0.88146,
465,-0.0343,,-0.26214,,-0.61383,,-0.90786,
480,-0.04104,0.046499,-0.27786,0.099775,-0.64138,0.11729,-0.9366,0.13215
495,-0.04602,,-0.29192,,-0.66386,,-0.957,
510,-0.05144,,-0.30738,,-0.68823,,-0.97925,
525,-0.06099,,-0.32991,,-0.72677,,-1.02049,
540,-0.06208,,-0.34073,,-0.73801,,-1.02246,
555,-0.06496,,-0.35509,,-0.75561,,-1.03269,
570,-0.06819,,-0.3709,,-0.77476,,-1.04436,
585,-0.07091,,-0.38692,,-0.79268,,-1.05368,
600,-0.07248,0.03967,-0.40204,0.109933,-0.80705,0.134585,-1.05767,0.161226
615,-0.07527,,-0.42042,,-0.82607,,-1.06714,
630,-0.0767,,-0.43766,,-0.84079,,-1.07041,
645,-0.07959,,-0.45901,,-0.86111,,-1.08017,
660,-0.08371,,-0.48455,,-0.88652,,-1.09544,
675,-0.08599,,-0.50839,,-0.9058,,-1.10232,
690,-0.08858,,-0.53499,,-0.92679,,-1.11051,
705,-0.09444,,-0.57141,,-0.96078,,-1.13325,
720,-0.0945,0.034456,-0.60445,0.135219,-0.98455,0.144225,-1.14286,0.197486
735,-0.09219,,-0.62075,,-1.00999,,-1.16353,
750,-0.0953,,-0.62984,,-1.02439,,-1.17713,
765,-0.09557,,-0.63748,,-1.03525,,-1.1775,
780,-0.09876,,-0.64691,,-1.05016,,-1.19139,
795,-0.0967,,-0.64737,,-1.0497,,-1.18166,
810,-0.10006,,-0.66297,,-1.07331,,-1.19568,
825,-0.10182,,-0.67109,,-1.08559,,-1.20301,
840,-0.10333,0.036995,-0.68265,0.152113,-1.10248,0.170101,-1.20884,0.215609
855,-0.10254,,-0.68465,,-1.1048,,-1.20492,
870,-0.10413,,-0.68268,,-1.10298,,-1.21261,
885,-0.10563,,-0.68443,,-1.10626,,-1.21945,
900,-0.10527,,-0.67575,,-1.094,,-1.21873,
915,-0.10677,,-0.6775,,-1.09727,,-1.22558,
930,-0.11164,,-0.68363,,-1.1085,,-1.24785,
945,-0.10925,,-0.69342,,-1.12079,,-1.23547,
960,-0.11158,0.040265,-0.70737,0.169295,-1.14145,0.192666,-1.24489,0.221516
975,-0.11404,,-0.73062,,-1.17495,,-1.25395,
990,-0.11501,,-0.74202,,-1.19118,,-1.25734,
1005,-0.1295,,-0.777,,-1.2404,,-1.26577,
