trz conc.,1 ng/mL,,10ng/mL,,100ng/mL,,1ug/mL,
minutes,,,,,,,,
0,0,,0,,0,,0,
15,0.028111,,0.027568,,0.037646,,0.041956,
30,0.052705,,0.038072,,0.051869,,0.0574,
45,0.098992,,0.122644,,0.166421,,0.181987,
60,0.12603,,0.156474,,0.21163,,0.229209,
75,0.127002,,0.170855,,0.230304,,0.247023,
90,0.107766,,0.149604,,0.200965,,0.21345,
105,0.074655,,0.142033,,0.190126,,0.199946,
120,0.027074,,0.088716,,0.118327,,0.1232,
135,-0.00232,,0.054976,,0.073056,,0.0753,
150,-0.05276,,-0.02221,,-0.0294,,-0.03,
165,-0.07,,-0.15019,,-0.19807,,-0.2,
180,-0.084,,-0.22715,,-0.29715,,-0.29383,
195,-0.10018,,-0.27113,,-0.35755,,-0.36104,
210,-0.11037,,-0.29892,,-0.39722,,-0.40942,
225,-0.11453,,-0.31041,,-0.41552,,-0.43698,
240,-0.12431,0.071039,-0.33715,0.137635,-0.45446,0.163511,-0.48745,0.161246
255,-0.13227,,-0.35897,,-0.48711,,-0.53267,
270,-0.15358,,-0.41708,,-0.56957,,-0.63477,
285,-0.16235,,-0.44113,,-0.60608,,-0.68816,
300,-0.16924,,-0.46012,,-0.63587,,-0.73529,
315,-0.17603,,-0.47883,,-0.66544,,-0.78342,
330,-0.18301,,-0.49806,,-0.69589,,-0.83385,
345,-0.1856,,-0.50544,,-0.71074,,-0.87024,
360,-0.203,0.066528,-0.553,0.110528,-0.7805,0.075328,-0.96792,0.098
375,-0.20566,,-0.55971,,-0.79112,,-0.9778,
390,-0.21273,,-0.57839,,-0.81872,,-1.0085,
405,-0.21827,,-0.59286,,-0.84045,,-1.03177,
420,-0.22665,,-0.61504,,-0.87317,,-1.06831,
435,-0.23293,,-0.63145,,-0.89781,,-1.09472,
450,-0.24001,,-0.65,,-0.92557,,-1.12472,
465,-0.2515,,-0.68044,,-0.97037,,-1.17512,
480,-0.26176,0.076138,-0.7075,0.146474,-1.01048,0.113168,-1.21949,0.114124
495,-0.2678,,-0.72308,,-1.03431,,-1.24395,
510,-0.27299,,-0.73637,,-1.05493,,-1.26436,
525,-0.2806,,-0.75611,,-1.08487,,-1.29573,
540,-0.29013,,-0.781,,-1.12232,,-1.33578,
555,-0.29234,,-0.78615,,-1.13148,,-1.34198,
570,-0.30136,,-0.80958,,-1.16701,,-1.37927,
585,-0.30911,,-0.82955,,-1.19768,,-1.41053,
600,-0.31929,0.100109,-0.85598,0.183505,-1.23779,0.168376,-1.45262,0.159327
615,-0.32053,,-0.8584,,-1.24327,,-1.45388,
630,-0.33244,,-0.88934,,-1.29014,,-1.50332,
645,-0.33245,,-0.88844,,-1.2909,,-1.49883,
660,-0.34403,,-0.91842,,-1.33662,,-1.54635,
675,-0.35063,,-0.93503,,-1.36301,,-1.57121,
690,-0.3562,,-0.94888,,-1.38545,,-1.59132,
705,-0.36353,,-0.96737,,-1.41477,,-1.61911,
720,-0.3696,0.128402,-0.98245,0.216732,-1.4392,0.19106,-1.64108,0.1587231
735,-0.38113,,-1.01909,,-1.48175,,-1.69135,
750,-0.38875,,-1.04154,,-1.51062,,-1.72489,
765,-0.39022,,-1.05381,,-1.51313,,-1.73014,
780,-0.3975,,-1.07564,,-1.54058,,-1.76213,
795,-0.40537,,-1.10355,,-1.5686,,-1.79603,
810,-0.41136,,-1.12898,,-1.58846,,-1.82126,
825,-0.4215,,-1.16154,,-1.62592,,-1.86549,
840,-0.42685,0.172269,-1.186,0.258548,-1.64312,0.276089,-1.88781,0.161573
855,-0.42976,,-1.19904,,-1.6526,,-1.9,
870,-0.43363,,-1.20235,,-1.67009,,-1.91814,
885,-0.43893,,-1.21454,,-1.69138,,-1.94193,
900,-0.44361,,-1.2175,,-1.713,,-1.96406,
915,-0.45409,,-1.24373,,-1.75439,,-2.01082,
930,-0.46222,,-1.25831,,-1.78858,,-2.0479,
945,-0.46354,,-1.28263,,-1.7862,,-2.05079,
960,-0.47546,0.214257,-1.32653,0.296821,-1.82832,0.304395,-2.10202,0.1651602
975,-0.48199,,-1.36751,,-1.84573,,-2.12784,
990,-0.4858,,-1.39009,,-1.85644,,-2.1431,
1005,-0.4998,,-1.4679,,-1.89805,,-2.20009,
