trz conc.,1 ng/mL,,10ng/mL,,100ng/mL,,1ug/mL,
minutes,,,,,,,,
0,0,,0,,0,,0,
15,0.044883,,0.087895,,0.101093,,0.116184,
30,0.083213,,0.164141,,0.188849,,0.21574,
45,0.153372,,0.306221,,0.35251,,0.398661,
60,0.1923,,0.38771,,0.446515,,0.500876,
75,0.190421,,0.391553,,0.451353,,0.498018,
90,0.15875,,0.332995,,0.384214,,0.416884,
105,0.10803,,0.231219,,0.267043,,0.284848,
120,0.038517,,0.083706,,0.096748,,0.101867,
135,-0.00325,,-0.00717,,-0.0083,,-0.00862,
150,-0.0725,,-0.16253,,-0.18815,,-0.19292,
165,-0.13403,,-0.3052,,-0.35359,,-0.35769,
180,-0.1855,,-0.4361,,-0.5061,,-0.49804,
195,-0.22221,,-0.50601,,-0.58623,,-0.59304,
210,-0.26376,,-0.58212,,-0.67333,,-0.69969,
225,-0.30695,,-0.65696,,-0.75875,,-0.80934,
240,-0.33782,0.14948,-0.70157,0.133615,-0.8091,0.10624,-0.88532,0.10123
255,-0.37045,,-0.74689,,-0.86017,,-0.96489,
270,-0.4024,,-0.78804,,-0.90637,,-1.04167,
285,-0.42254,,-0.79655,,-0.91464,,-1.08475,
300,-0.44931,,-0.81602,,-0.93553,,-1.14387,
315,-0.47822,,-0.83737,,-0.95859,,-1.20726,
330,-0.49508,,-0.85141,,-0.97398,,-1.24452,
345,-0.5146,,-0.86549,,-0.98924,,-1.28672,
360,-0.539,0.125312,-0.8946,0.068288,-1.022,0.078496,-1.3434,0.0725
375,-0.54582,,-0.90876,,-1.04214,,-1.35925,
390,-0.5665,,-0.94465,,-1.0854,,-1.41013,
405,-0.58031,,-0.97226,,-1.12367,,-1.44266,
420,-0.5938,,-0.99802,,-1.15801,,-1.47494,
435,-0.60939,,-1.02749,,-1.19698,,-1.51238,
450,-0.62912,,-1.06415,,-1.24473,,-1.56001,
465,-0.64292,,-1.09098,,-1.28136,,-1.59285,
480,-0.6598,0.128304,-1.12324,0.090112,-1.32474,0.109824,-1.63327,0.08152
495,-0.67673,,-1.15581,,-1.3689,,-1.67375,
510,-0.68436,,-1.17267,,-1.39478,,-1.69118,
525,-0.69634,,-1.1971,,-1.42999,,-1.71929,
540,-0.71093,,-1.22621,,-1.47118,,-1.75381,
555,-0.7201,,-1.24614,,-1.50172,,-1.7749,
570,-0.73351,,-1.27359,,-1.54168,,-1.80641,
585,-0.74301,,-1.2944,,-1.57401,,-1.82823,
600,-0.75107,0.134886,-1.31284,0.093984,-1.60378,0.131648,-1.84646,0.107832
615,-0.7636,,-1.33926,,-1.64369,,-1.87565,
630,-0.77892,,-1.37078,,-1.69033,,-1.91163,
645,-0.78693,,-1.38959,,-1.72175,,-1.9296,
660,-0.80207,,-1.4212,,-1.76946,,-1.96503,
675,-0.81351,,-1.44645,,-1.80976,,-1.99133,
690,-0.82314,,-1.46865,,-1.84672,,-2.01316,
705,-0.83755,,-1.49957,,-1.89513,,-2.04661,
720,-0.8505,0.136599,-1.5281,0.099806,-1.9411,0.144437,-2.07646,0.115614
735,-0.86193,,-1.55698,,-1.97307,,-2.10918,
750,-0.87528,,-1.58392,,-2.00561,,-2.14346,
765,-0.88344,,-1.6102,,-2.03236,,-2.17002,
780,-0.89453,,-1.63334,,-2.05991,,-2.19892,
795,-0.90285,,-1.65742,,-2.08523,,-2.22439,
810,-0.9061,,-1.67539,,-2.10103,,-2.23914,
825,-0.91584,,-1.69949,,-2.1278,,-2.2666,
840,-0.92481,0.14513,-1.72855,0.096448,-2.15713,0.152064,-2.29569,0.109244
855,-0.93322,,-1.75055,,-2.18102,,-2.32002,
870,-0.94697,,-1.76678,,-2.20664,,-2.34893,
885,-0.96144,,-1.79054,,-2.23815,,-2.38303,
900,-0.97313,,-1.79933,,-2.25645,,-2.40478,
915,-0.99676,,-1.8397,,-2.30896,,-2.46131,
930,-1.00602,,-1.84681,,-2.32351,,-2.47857,
945,-1.00688,,-1.87517,,-2.34393,,-2.49566,
960,-1.01597,0.155912,-1.90578,0.091376,-2.37441,0.159335,-2.52574,0.091647
975,-1.01959,,-1.94037,,-2.40163,,-2.54989,
990,-1.02173,,-1.95856,,-2.4161,,-2.56284,
1005,-1.0255,,-2.009,,-2.4535,,-2.59515,
