trz conc.,1 ng/mL,,10ng/mL,,100ng/mL,,1ug/mL,
minutes,,,,,,,,
0,0,,0,,0,,0,
15,0.030716,,-0.09615,,-0.09615,,-0.1336,
30,0.056285,,0.113968,,0.113968,,0.118508,
45,0.104007,,0.088426,,0.098806,,0.084889,
60,0.130674,,0.222711,,0.285059,,0.178169,
75,0.130674,,0.28,,0.372215,,0.23875,
90,0.130674,,0.225227,,0.245808,,0.225227,
105,0.129928,,0.14475,,0.15028,,0.1737,
120,0.129928,,0.028017,,0.028017,,0.044515,
135,0.108761,,-0.02732,,-0.03256,,-0.06502,
150,0.074314,,-0.05388,,-0.06335,,-0.12872,
165,0.074314,,-0.10097,,-0.11714,,-0.24214,
180,0.040736,,-0.14724,,-0.16645,,-0.35576,
195,-0.00424,,-0.17666,,-0.20495,,-0.42364,
210,-0.07758,,-0.22383,,-0.26679,,-0.5327,
225,-0.09588,,-0.27873,,-0.34173,,-0.65831,
240,-0.10768,0.165201,-0.31546,0.143334,-0.39832,0.142239,-0.73933,0.22615
255,-0.12076,,-0.35655,,-0.46431,,-0.82916,
270,-0.13804,,-0.41076,,-0.55249,,-0.94778,
285,-0.14796,,-0.44496,,-0.62644,,-1.01592,
300,-0.15852,,-0.48181,,-0.71233,,-1.08842,
315,-0.17426,,-0.53538,,-0.83423,,-1.19648,
330,-0.1828,,-0.56466,,-0.90467,,-1.25509,
345,-0.19186,,-0.5967,,-0.99137,,-1.31729,
360,-0.203,0.148192,-0.6384,0.145024,-1.085,0.143616,-1.40356,0.21805
375,-0.21545,,-0.66104,,-1.11252,,-1.43667,
390,-0.22632,,-0.68832,,-1.15271,,-1.48729,
405,-0.23752,,-0.72442,,-1.19504,,-1.5379,
420,-0.24891,,-0.75682,,-1.23581,,-1.5876,
435,-0.25795,,-0.78181,,-1.26348,,-1.62033,
450,-0.2681,,-0.80992,,-1.29524,,-1.65816,
465,-0.2809,,-0.84573,,-1.3382,,-1.71017,
480,-0.29351,0.148298,-0.88067,0.170177,-1.37852,0.148333,-1.75861,0.246256
495,-0.30486,,-0.91145,,-1.41116,,-1.7971,
510,-0.31238,,-0.93052,,-1.42476,,-1.81124,
525,-0.32634,,-0.96844,,-1.46621,,-1.86065,
540,-0.33739,,-0.99734,,-1.49277,,-1.89103,
555,-0.34707,,-1.02186,,-1.5118,,-1.91176,
570,-0.36158,,-1.06018,,-1.55011,,-1.95673,
585,-0.37442,,-1.09313,,-1.57925,,-1.98999,
600,-0.38649,0.151793,-1.1234,0.183473,-1.60336,0.19988,-2.01679,0.241672
615,-0.40123,,-1.16094,,-1.63658,,-2.05492,
630,-0.41433,,-1.19321,,-1.66106,,-2.08195,
645,-0.42387,,-1.21475,,-1.66961,,-2.08893,
660,-0.44035,,-1.25563,,-1.70354,,-2.12757,
675,-0.44969,,-1.29313,,-1.73141,,-2.15851,
690,-0.46415,,-1.32695,,-1.75301,,-2.18152,
705,-0.465,,-1.37513,,-1.79202,,-2.22607,
720,-0.4655,0.153357,-1.41505,0.197953,-1.8186,0.238662,-2.25502,0.251
735,-0.471,,-1.44135,,-1.84763,,-2.3026,
750,-0.47575,,-1.46308,,-1.87389,,-2.33924,
765,-0.47986,,-1.46995,,-1.87631,,-2.35794,
780,-0.48875,,-1.49572,,-1.90759,,-2.40124,
795,-0.49703,,-1.51658,,-1.92933,,-2.4407,
810,-0.50042,,-1.52099,,-1.9285,,-2.45577,
825,-0.50902,,-1.54413,,-1.95461,,-2.49718,
840,-0.51493,0.209581,-1.55599,0.241965,-1.96317,0.250733,-2.52453,0.278752
855,-0.51922,,-1.56589,,-1.97246,,-2.54471,
870,-0.52634,,-1.59201,,-2.01027,,-2.58089,
885,-0.53171,,-1.60982,,-2.03441,,-2.60764,
900,-0.53715,,-1.63263,,-2.07006,,-2.63603,
915,-0.54777,,-1.66652,,-2.11478,,-2.68856,
930,-0.55571,,-1.69564,,-2.15712,,-2.72886,
945,-0.56033,,-1.69646,,-2.1439,,-2.74798,
960,-0.5722,0.214745,-1.72568,0.294554,-2.17373,0.269443,-2.80438,0.2961246
975,-0.57847,,-1.73115,,-2.16664,,-2.83144,
990,-0.58441,,-1.7381,,-2.16844,,-2.85192,
1005,-0.595,,-1.75,,-2.163,,-2.899,
