trz conc.,1 ng/mL,,10ng/mL,,100ng/mL,,1ug/mL,
minutes,,,,,,,,
0,0,,0,,0,,0,
15,0.06,,-0.0005,,-0.0005,,-0.00068,
30,0.12,,-0.0311,,-0.0311,,-0.03179,
45,0.23913,,0.141538,,0.141538,,0.119565,
60,0.26,,0.230893,,0.230893,,0.141925,
75,0.28,,0.231638,,0.231638,,0.144279,
90,0.3,,0.177323,,0.177323,,0.15586,
105,0.262325,,0.092094,,0.092094,,0.10092,
120,0.262325,,0.04917,,0.04917,,0.073672,
135,0.222657,,0.011644,,0.020742,,0.038853,
150,0.1682,,-0.00865,,-0.0155,,-0.02939,
165,0.12615,,-0.02312,,-0.04166,,-0.07998,
180,0.07735,,-0.04074,,-0.0742,,-0.14593,
195,-0.00211,,-0.06105,,-0.11,,-0.2112,
210,-0.01318,,-0.07897,,-0.14067,,-0.2635,
225,-0.06894,,-0.10228,,-0.17997,,-0.3287,
240,-0.08324,0.089731,-0.12841,0.076646,-0.22303,0.060005,-0.39691,0.0815376
255,-0.09749,,-0.15661,,-0.26825,,-0.46484,
270,-0.11381,,-0.19073,,-0.32186,,-0.54267,
285,-0.12352,,-0.21633,,-0.35926,,-0.58893,
300,-0.13752,,-0.25225,,-0.41176,,-0.65573,
315,-0.14824,,-0.28539,,-0.45726,,-0.70681,
330,-0.16162,,-0.32738,,-0.51409,,-0.7706,
345,-0.17186,,-0.37243,,-0.56886,,-0.81944,
360,-0.1855,0.122496,-0.42,0.057376,-0.63,0.054912,-0.88541,0.0655
375,-0.19062,,-0.43233,,-0.64716,,-0.9063,
390,-0.20472,,-0.4656,,-0.69551,,-0.97053,
405,-0.21259,,-0.48484,,-0.72273,,-1.00491,
420,-0.22268,,-0.50931,,-0.75759,,-1.04959,
435,-0.23514,,-0.53934,,-0.80054,,-1.1051,
450,-0.24794,,-0.57033,,-0.8447,,-1.16185,
465,-0.25561,,-0.58968,,-0.87146,,-1.1943,
480,-0.26546,0.099616,-0.6142,0.067936,-0.9057,0.086838,-1.2367,0.0845918
495,-0.27524,,-0.63872,,-0.93977,,-1.27853,
510,-0.285,,-0.66334,,-0.9738,,-1.31996,
525,-0.29562,,-0.69013,,-1.01082,,-1.3651,
540,-0.30268,,-0.70877,,-1.03575,,-1.39359,
555,-0.30898,,-0.72573,,-1.05809,,-1.41837,
570,-0.31516,,-0.74253,,-1.08005,,-1.44241,
585,-0.32236,,-0.76187,,-1.10557,,-1.47098,
600,-0.32821,0.092224,-0.77813,0.077792,-1.12648,0.109824,-1.49317,0.112725
615,-0.33216,,-0.79,,-1.14091,,-1.5066,
630,-0.34007,,-0.8114,,-1.16898,,-1.53783,
645,-0.34543,,-0.82686,,-1.18833,,-1.55735,
660,-0.35455,,-0.85146,,-1.22066,,-1.59362,
675,-0.35891,,-0.86478,,-1.23664,,-1.60831,
690,-0.36508,,-0.88259,,-1.25892,,-1.631,
705,-0.37405,,-0.90731,,-1.29088,,-1.66596,
720,-0.3815,0.085427,-0.93205,0.099138,-1.32265,0.115765,-1.70036,0.1261472
735,-0.39266,,-0.95721,,-1.35491,,-1.74253,
750,-0.39814,,-0.97109,,-1.37338,,-1.76652,
765,-0.40348,,-0.98623,,-1.39007,,-1.78894,
780,-0.40957,,-1.00166,,-1.41062,,-1.81563,
795,-0.40855,,-1.00078,,-1.40578,,-1.81013,
810,-0.4148,,-1.01829,,-1.42549,,-1.83649,
825,-0.42008,,-1.03238,,-1.44274,,-1.85921,
840,-0.42603,0.089408,-1.04927,0.103488,-1.46133,0.131729,-1.88417,0.1346183
855,-0.42783,,-1.05484,,-1.46658,,-1.89144,
870,-0.43306,,-1.06601,,-1.48593,,-1.91563,
885,-0.44048,,-1.08368,,-1.51185,,-1.94879,
900,-0.44268,,-1.08674,,-1.52132,,-1.95995,
915,-0.45076,,-1.10596,,-1.54955,,-1.99605,
930,-0.45664,,-1.11859,,-1.57126,,-2.0232,
945,-0.45486,,-1.11905,,-1.56119,,-2.01239,
960,-0.46076,0.093947,-1.13604,0.108655,-1.57947,0.139736,-2.03703,0.1412467
975,-0.46677,,-1.15593,,-1.59609,,-2.06066,
990,-0.46998,,-1.16642,,-1.60503,,-2.0733,
1005,-0.469,,-1.19,,-1.6205,,-2.09663,
