"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Event #", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A"
192935,140277,167576,272.8,208.32,113.46,71.3,70.06,67.2,113.92,-98.56,768.22,2126.45,923,970.88,307.2,39150.7,0.621,23,268.124,115.845,109.716,-184.443,75.2546,71.4292,174.212,-103.706,632.841,1775.39,-142.172,330.983,-401.607,32595
168001,134659,168375,654.1,224.44,66.34,322.4,-42.78,17.92,64.64,23.68,768.93,2728.53,1584.01,993.92,193.28,41219.8,0.627,24,646.087,107.131,44.4137,196.805,-81.6812,12.6816,132.636,48.0792,584.038,2373.21,323.253,366.36,-535.379,32463.1
183668,141344,125096,447.64,148.8,33.48,394.32,-8.06,229.76,235.52,120.32,768.93,2164.08,819.34,1304.96,540.8,52118.4,0.705,39,438.119,49.5704,10.9556,378.236,-69.6805,220.444,140.661,99.714,627.113,1803.26,-101.319,402.863,-320.409,45358
127640,112409,133647,280.86,-8.06,36.58,-2.48,12.4,114.56,93.44,30.08,457.24,1116.83,542.44,345.6,192,17912.3,0.707,41,278.679,-65.2932,43.2668,-102.311,18.0827,115.988,66.6831,17.9714,387.995,895.649,51.0417,53.9877,-103.474,14550.4
137337,115072,213680,336.66,112.84,91.14,331.7,-36.58,399.36,8.32,-24.96,1277.29,3030.99,1585.43,1235.84,322.56,40535,0.741,49,325.077,23.4819,79.0992,141.185,-74.623,396.3,-112.404,10.42,1090.64,2457.07,246.724,656.962,-498.686,31299.5
185366,137341,116156,382.54,92.38,98.58,114.08,121.52,35.2,135.04,16.64,858.39,2071.07,1113.99,954.88,231.68,42324.5,0.758,57,377.606,-14.1747,101.124,-124.58,119.225,36.4904,224.727,9.67221,729.862,1660.14,146.236,248.319,-521.398,36093.9
184528,139802,169444,430.28,108.5,165.54,380.68,88.66,131.2,-24.96,-39.68,936.49,2050.48,1177.18,464.64,12.16,9767.04,0.825,76,422.586,16.2016,160.176,-0.0840685,52.047,130.652,1.73285,-10.7951,812.967,1602.8,137.436,426.853,-508.523,3665.39
229429,158208,252067,1396.24,574.12,505.92,770.66,142.6,181.12,25.6,67.84,1899.25,5180.87,2885.44,1320.32,547.2,48101.1,0.865,85,1381.03,263.885,490.696,-411.103,89.2094,185.358,150.258,117.442,1569.68,4260.04,-17.1156,729.391,-1016.96,32105.8
149542,123254,141181,681.38,186,199.02,556.14,79.98,67.84,152.96,13.44,735.56,2318.86,1429.94,714.88,489.6,26451.8,0.93,98,673.141,44.1053,186.03,96.2697,18.4308,64.6638,162.89,-0.186433,581.653,1959.08,174.949,331.754,-305.815,19161.5
115483,101549,94892.9,323.64,191.58,66.96,78.12,23.56,99.2,87.68,12.8,572.97,2079.59,865.49,866.56,254.08,21875.8,0.941,101,318.691,124.271,57.1624,-57.7047,19.7338,99.8385,72.3745,10.0443,433.299,1826.91,-149.206,570.629,-220.281,15127.5
