"FSC-A", "FSC-H", "SSC-A", "FL-A", "PE-A", "PerCP-A", "Cy55PerCP-A", "Cy7PE-A", "APC-A", "Alexa700-A", "Cy7APC-A", "PacB-A", "AmCy-A", "QDot605-A", "BUV395-A", "BUV737-A", "BUV496-A", "Time", "Comp-FL-A", "Comp-PE-A", "Comp-PerCP-A", "Comp-Cy55PerCP-A", "Comp-Cy7PE-A", "Comp-APC-A", "Comp-Alexa700-A", "Comp-Cy7APC-A", "Comp-PacB-A", "Comp-AmCy-A", "Comp-QDot605-A", "Comp-BUV395-A", "Comp-BUV737-A", "Comp-BUV496-A", "Event #"
147576,116718,201050,561.1,238.08,170.5,388.74,3.1,157.44,-8.32,58.24,991.87,2974.9,1557.74,1232,328.96,60936.3,0.355,551.897,84.2314,158.324,20.7579,-34.8806,154.76,57.1384,106.501,797.587,2522.5,62.2734,249.68,-774.154,51596.3,22
202404,140393,154295,555.52,140.74,122.14,172.36,63.86,-46.08,-90.88,-45.44,854.13,2504.88,1410.77,1459.84,649.6,57870.1,0.376,550.78,-3.27956,123.107,-128.989,55.7887,-43.8758,-5.18247,-12.4524,692.703,2107.62,187.353,481.534,-335.908,50013.6,36
214806,133791,182213,738.42,76.26,180.42,427.8,97.96,88.32,205.44,-31.36,1148.78,3160.21,1267.35,1375.36,592.64,68965.8,0.39,730.707,-112.856,183.403,34.1685,50.6961,86.7383,288.708,-39.8602,945.142,2609.47,-263.501,206.339,-663.226,59279.1,42
159058,132255,156131,381.92,57.66,95.48,490.42,-7.44,172.16,-48.64,30.72,920.16,2378.5,952.11,904.32,286.72,24017.3,0.423,372.639,-22.3295,81.8981,318.736,-76.3298,164.879,-108.864,67.3873,769.201,1961.24,-135.134,605.726,-355.298,16629.4,59
165396,129384,185865,757.02,336.66,393.08,617.52,89.9,334.72,274.56,62.08,1217.65,2864.14,1650.75,993.92,245.76,22301.4,0.428,745.932,141.688,387.258,-297.414,43.774,337.505,292.845,60.8107,1041.66,2253.32,-82.6094,753.318,-880.338,13680.1,62
172370,136692,105852,297.6,131.44,76.88,482.36,58.9,104.96,78.08,49.92,636.16,2166.92,1473.25,688,109.44,15514.2,0.441,288.084,74.7055,53.9194,326.685,-4.36993,97.1024,62.2138,57.9712,489.903,1888.82,445.891,539.147,-412.875,8524.57,69
138688,110996,130210,326.74,96.72,69.44,106.64,197.78,39.68,21.76,2.56,732.01,2030.6,1091.27,1109.76,291.84,42265.6,0.526,321.439,4.08361,68.0437,-58.1051,193.215,40.2185,80.9668,5.69311,602.192,1694.22,152.88,413.758,-437.574,35946.2,116
105120,86813,102110,364.56,130.82,53.32,215.14,129.58,112,17.28,4.48,298.2,1386.63,617.7,243.84,160.64,5116.16,0.566,359.306,78.6254,39.532,114.227,101.858,109.762,-41.574,-4.97142,201.087,1256.32,-77.5512,237.39,-61.172,520.755,144
164782,133389,111736,480.5,60.14,31.62,647.28,81.22,92.8,81.92,21.12,845.61,2637.65,1476.09,791.04,115.2,24532.5,0.583,468.639,-12.2157,2.52442,631.884,-16.446,79.4517,62.9506,30.0356,668.967,2257.27,362.771,492.913,-490.778,16163.1,154
155049,119626,138447,329.84,69.44,84.94,149.42,45.88,265.6,119.68,-55.04,661.72,2116.51,843.48,897.92,424.96,47753.6,0.602,324.146,-30.7738,85.8692,-32.3533,32.4615,266.623,65.5882,-62.1687,522.266,1824.14,-169.113,93.3597,-338.614,41095.4,162
182058,144024,100713,631.16,141.98,78.74,172.98,81.84,346.88,286.72,35.2,984.06,2727.82,1246.76,593.28,207.36,15512.3,0.602,622.228,45.0803,69.1188,1.98022,65.3263,346.246,158.68,-9.01444,808.792,2259.96,14.3812,448.697,-244.357,7067.47,163
129285,103577,141736,675.8,215.14,80.6,332.32,30.38,106.88,167.68,-53.12,531.79,1779.97,899.57,216.96,126.08,8536.96,0.611,668.872,121.976,58.6289,175.769,-11.0645,103.761,139.18,-75.2394,411.722,1511.69,33.4804,151.331,-189.888,2939.89,173
147220,117293,128524,382.54,106.64,95.48,334.18,56.42,96,37.12,75.52,747.63,2094.5,1192.8,986.24,385.28,43851.5,0.632,375.237,4.09822,86.4668,124.171,17.0661,91.7378,50.3166,90.0757,612.166,1750.71,200.809,262.915,-414.371,37324.5,182
241784,170995,187698,748.34,256.06,67.58,197.78,17.98,41.6,-32.64,94.08,1111.15,3092.76,1615.96,1380.48,566.4,74790.4,0.661,739.908,93.5843,51.6102,57.7359,-1.28412,38.3534,27.5912,126.849,911.991,2572.96,247.081,102.964,-476.336,65213.6,196
98075,90193,106608,420.36,79.36,0.62,64.48,114.7,414.08,199.04,167.04,350.74,1357.52,658.17,121.6,87.68,2238.08,0.708,413.642,35.921,-10.2613,74.2838,104.545,410.97,-12.1316,123.012,257.698,1193.6,75.8298,162.48,-14.567,-2194.74,216
232402,154416,249126,1176.14,366.42,341.62,873.58,-51.46,460.8,154.88,-104.96,1904.22,5216.37,2697.29,2077.44,576.64,70567.7,0.711,1158,101.495,318.51,129.953,-143.807,457.285,129.217,-54.6102,1570.08,4315.96,62.5144,1055.76,-1154.17,54407.4,218
170233,137840,206794,504.68,86.8,79.98,475.54,123.38,503.04,271.36,65.92,1237.53,3089.92,1677.73,892.8,188.16,20033.9,0.723,490.34,2.20571,60.3663,318.225,60.4329,495.632,74.1654,35.6599,1042.74,2517.06,340.196,703.968,-459.819,10557.6,223
141069,116040,197782,839.48,223.82,177.32,477.4,132.06,561.28,24.32,56.96,1209.13,3335.58,1927.65,1117.44,147.84,27082.2,0.733,825.04,72.8841,158.795,86.9322,83.4613,557.977,-137.21,88.0379,995.906,2766.1,300.232,845.04,-710.111,16642.1,231
178818,137329,161563,381.92,168.02,79.36,39.06,-6.82,342.4,90.24,-4.48,1000.39,2393.41,1185.7,1122.56,301.44,48333.4,0.736,374.484,64.5033,75.5178,-141.526,0.631653,344.717,26.1331,7.57717,853.347,1930.6,102.7,332.393,-473.252,41091.4,232
135054,116328,127666,282.72,11.78,9.3,298.84,36.58,72.96,215.04,-22.4,460.08,1438.46,404.7,328.96,119.68,5098.88,0.749,277.251,-21.114,-3.45459,322.895,-13.2801,66.9162,166.77,-58.2208,363.412,1223.8,-189.126,305.092,-104.12,571.21,238
192540,153133,151203,411.68,176.08,109.12,106.64,-7.44,235.52,487.04,-32,961.34,2707.23,989.74,1075.84,313.6,48349.4,0.752,405.235,61.0297,106.329,-121.209,-11.3792,237.516,494.03,-92.0103,786.241,2253.12,-291.007,265.476,-545.901,40042.5,241
182242,145625,161481,420.98,130.82,91.76,372,6.82,279.68,80,15.36,931.52,2394.83,1188.54,1171.2,282.88,42093.4,0.752,411.29,28.9742,77.4538,194.765,-39.5329,274.901,23.5202,34.9818,779.815,1963.87,93.9809,513.124,-548.924,34712.6,242
159154,136684,147438,618.76,174.84,47.12,241.18,101.68,339.2,99.84,-28.8,1047.96,3588.34,1493.13,347.52,241.28,11676.8,0.757,607.694,96.7113,27.2401,169.019,69.0379,336.606,-68.191,-49.5642,808.236,3135.46,-109.066,348.765,-76.6567,202.963,245
167400,134651,151788,692.54,236.22,114.7,310,19.84,85.76,179.2,61.44,971.28,2709.36,1355.39,807.04,222.72,21443.2,0.758,684.139,120.205,97.1403,65.4052,-13.5124,82.8185,188.391,51.726,796.319,2239.17,70.6003,549.484,-373.671,13025.3,246
139339,105345,139804,517.7,104.16,171.12,717.34,117.8,129.92,224,-87.68,248.5,903.83,312.4,90.24,61.44,3930.88,0.77,510.335,7.74844,152.127,381.526,21.7162,122.731,217.636,-114.097,184.247,757.37,-292.124,72.8925,-428.072,1123.97,255
139618,110645,138715,376.96,211.42,168.02,482.98,64.48,345.6,9.6,69.12,1116.83,2543.22,1536.44,1379.84,399.36,39626.2,0.78,364.897,98.9553,150.787,110.433,12.5295,341.514,-77.4739,101.861,961.767,2025.2,280.53,790.523,-577.547,31891.7,262
212215,150096,193534,694.4,214.52,57.04,190.96,13.64,189.44,-46.08,73.6,1172.21,3088.5,1517.98,1394.56,291.84,76890.2,0.783,684.87,58.1944,42.4797,93.8057,-5.88002,185.627,1.22281,124.983,975.74,2542.77,185.758,100.259,-774.248,67405.7,266
247771,167133,242849,1365.24,449.5,291.4,787.4,184.76,-39.04,1.92,60.8,1077.07,3457.7,1892.86,802.56,183.68,26777.6,0.801,1352.86,216.487,258.188,158.152,98.7724,-44.9261,142.454,94.6345,846.638,2907.91,11.6539,517.969,-795.24,15858.7,279
227205,168519,201510,507.78,149.42,97.34,142.6,45.26,321.92,-71.04,109.44,1129.61,3492.49,1856.65,1389.44,221.44,31232.6,0.802,497.995,47.6857,91.1271,-81.174,38.735,321.393,-151.702,155.764,902.493,2995.34,231.101,1039.94,-520.15,20033.6,281
171888,145965,121602,722.92,97.96,197.16,370.14,140.74,224.64,146.56,71.68,899.57,2635.52,1462.6,902.4,375.04,25361.3,0.809,715.017,-50.8646,198.796,-100.83,108.337,224.674,113.918,61.6397,728.725,2198.03,90.879,575.868,-430.978,17100,283
145898,125497,126624,752.68,183.52,99.82,149.42,42.16,325.12,-224,-34.56,787.39,2941.53,1388.76,737.28,314.88,18330.2,0.81,744.747,68.3204,90.7924,-72.0081,32.8292,326.953,-360.962,17.576,590.441,2596.81,-43.1521,602.698,-147.478,8730.47,286
185384,140517,142957,556.14,151.28,94.86,419.74,58.9,83.2,-49.28,129.28,1191.38,2953.6,1285.81,1228.8,252.8,49931.5,0.837,545.904,27.2448,78.607,250.796,3.38472,75.498,-2.48256,175.149,1005.57,2399.51,-25.6193,456.875,-661.452,40877.9,296
182849,142061,132882,708.04,275.9,115.94,365.8,27.9,94.72,-15.36,-73.6,1130.32,3132.52,1731.69,430.08,145.28,14750.7,0.843,697.821,168.321,91.7638,114.388,-10.82,92.7343,-15.3684,-52.7945,929.257,2608.07,265.437,347.069,-313.305,5057.64,303
144927,119292,160865,234.36,1.24,61.38,216.38,98.58,58.88,-90.24,49.92,665.27,2141.36,865.49,974.72,216.32,49311.4,0.853,228.991,-84.6167,62.4443,102.644,70.8589,55.4572,-26.9005,90.3072,523.509,1858.87,-114.911,169.042,-556.696,42489.2,309
161640,122329,117891,386.26,73.78,110.98,267.22,-35.34,227.84,177.28,54.4,783.13,2364.3,990.45,835.2,296.32,34489.6,0.865,379.526,-24.0654,108.73,32.4319,-65.632,225.72,138.79,51.6932,628.253,2007.17,-151.417,309.364,-415.786,27059.9,312
201686,154525,136169,646.66,220.1,156.86,452.6,127.1,371.84,-69.12,33.92,1144.52,2986.26,2084.56,435.84,170.88,10958.7,0.87,633.608,111.726,136.605,75.9497,82.8722,369.262,-197.306,61.3042,956.288,2459.63,637.114,441.443,-359.018,1734.1,315
201284,142984,115916,305.04,194.06,66.96,273.42,94.86,-7.04,-94.08,-42.88,944.3,1974.51,1225.46,256,122.24,8462.72,0.879,297.105,144.42,47.1135,121.922,64.8848,-9.24816,-78.2197,-23.8834,826.752,1538.4,356.172,218.088,-149.192,2651.75,317
240091,180317,240886,823.98,157.48,85.56,877.92,73.16,259.84,212.48,19.84,1498.81,3833.29,1952.5,754.56,240.64,22463.4,0.89,806.215,42.0093,44.3953,755.247,-55.2019,244.083,101.013,6.5625,1253.29,3130.61,325.45,556.111,-478.174,10730.5,328
160271,131449,164872,558,110.98,70.06,133.92,52.7,581.12,297.6,90.88,1165.82,2923.07,1475.38,1411.84,339.2,47616,0.923,547.039,-8.37971,64.5975,-19.9771,43.289,579.997,111.105,65.5019,982.847,2373.79,203.585,665.399,-544.85,38652.4,345
