frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,0.42745,2.271791,0.698077,0.243285,0,0,0.324703,0.887805,0.552156,2.062772,0.719256,2.812661,1.538149,2.257953,2.310976,3.427742,19.83569,6.384054,17.61378,4.175681,6.544741,6.598607,6.700682,8.785199
15,0.625826,0.780289,0.254425,0.502586,0,0.1723,0.223754,0,0.594914,1.29109,0.778796,2.060872,1.196531,1.830607,2.298845,2.694725,22.75546,4.595277,10.49065,5.721372,5.930834,3.883598,7.968703,6.759427
30,0.629969,0.480475,0.405892,1.69103,0.122149,0.467944,0.209482,0.501304,0.648499,1.388652,0.640354,2.972538,1.453901,2.222942,2.455699,3.4281,13.93006,7.175812,12.39458,7.234043,3.828251,4.002768,9.764994,11.31644
45,0.901399,0.648494,0.771601,1.21174,1.106145,1.314604,0.404864,1.643953,0.670968,0.717221,0.598206,2.308808,1.338993,1.897261,2.427273,4.045173,14.78614,5.262492,12.62574,6.312869,5.122321,4.223718,7.883278,11.20472
60,1.478144,1.820731,1.401864,2.38429,1.833553,2.442713,1.254769,2.470837,0.866168,0.982693,1.161365,3.612208,2.022021,3.057151,3.751865,3.691406,12.85282,6.225586,10.75149,7.083333,4.616044,4.775281,10.50145,7.184939
75,1.846454,2.194113,1.290973,3.913381,2.01206,2.874962,1.875985,3.051086,0.894344,1.231385,0.851415,3.253224,1.642831,3.317686,3.547563,4.505187,13.19693,4.956869,8.732463,6.260405,6.100904,4.495921,8.868907,5.300639
90,4.073224,4.732026,2.477519,5.279051,3.119783,6.842894,2.701747,5.918755,1.139551,1.665834,1.842299,4.746535,2.449965,4.902706,4.238828,4.573171,13.25052,6.711409,10.11122,6.793478,6.421405,4.743083,5.630278,6.864989
105,4.274374,4.691751,2.954283,6.431213,3.691223,7.029443,3.505737,6.290389,1.358123,2.808608,2.283919,5.914744,2.958576,5.91615,4.159712,6.288391,12.37715,5.918485,8.905299,7.120799,7.493052,5.53686,5.831228,7.902542
120,4.48565,6.472063,3.260734,9.381467,4.026214,8.598598,4.75232,8.737285,2.219187,4.137199,4.111248,7.914278,5.19802,8.854288,5.538537,8.39628,15.30153,8.851879,11.977,8.663366,10.16154,7.367272,6.647237,8.910891
135,4.701215,8.692341,4.423692,10.2884,4.438084,10.1022,5.458868,10.66444,3.926483,6.714628,5.260771,10.17284,7.454513,13.37734,7.367796,13.43179,15.07937,10.14169,14.20389,9.69697,9.876543,8.888889,6.91358,10.61061
150,7.863893,10.98298,6.17323,13.74045,6.405031,14.34974,9.818757,12.68035,5.712623,9.066013,7.012055,11.49824,8.992906,15.5168,9.854275,15.17917,20.20212,15.1288,16.8166,15.45769,12.81986,11.26471,8.97543,13.93271
165,7.921103,10.1834,6.113504,13.22703,6.370014,14.48292,8.55668,12.77938,6.913255,10.9296,8.437309,13.97738,11.20318,17.85692,11.86249,17.21464,21.87049,13.13847,20.60665,14.7539,16.0127,12.46779,9.436364,14.02373
180,9.149288,11.71745,7.736864,15.77969,7.91253,15.93685,9.256545,13.60154,9.198674,12.27718,10.55667,15.93697,12.23737,18.64448,14.54678,17.93115,23.95298,19.17546,23.26203,21.10814,19.78064,18.57053,13.8173,18.44197
195,10.32065,12.17165,7.707258,16.65075,8.120965,17.09414,10.73731,15.40903,8.990965,12.90008,10.48384,17.29336,12.23737,20.4159,15.23709,19.92722,27.57806,19.83259,23.52909,25.5083,24.0865,18.88818,14.04506,19.44935
210,9.828539,14.38238,8.032107,19.08829,9.141929,20.90737,11.18279,18.05505,9.243978,12.72386,11.27252,16.13105,13.26947,20.48106,15.06163,19.52389,29.04563,18.5357,25.68481,24.43599,24.24663,19.55511,15.55527,21.56587
225,8.251497,15.10367,7.412446,16.69565,7.971808,21.0961,10.95728,18.25336,9.81849,13.64832,10.80135,16.04995,12.91637,21.50619,14.6778,19.47222,31.58598,23.14449,28.58687,26.01859,29.8574,22.76318,16.9037,25.80894
240,9.323445,17.43992,8.17761,20.62494,10.55316,22.42737,12.46363,22.26732,9.148781,13.91789,12.74722,16.06441,14.3296,23.28548,16.40323,20.90182,40.55743,27.79112,33.65561,30.09766,35.43907,27.33871,20.05542,33.04454
255,14.79216,20.13585,15.47531,25.81737,16.67588,28.81742,18.44953,30.09144,7.947557,13.16635,11.6592,16.23022,13.75729,21.75585,15.52565,19.57811,40.45353,27.87088,36.76643,30.56048,37.98545,30.07957,23.69082,34.29934
270,15.66787,19.35107,14.47842,26.06679,16.31201,30.34406,17.37418,33.0337,7.738334,15.53321,12.74051,17.76694,14.99773,25.12236,16.8273,23.00105,43.56052,25.36822,44.48146,29.95009,37.55395,31.30912,22.2149,35.01647
