frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,0.787988,0.438175,1.075914,1.181167,1.567318,0.951368,1.416032,0.754634,19.83569,6.384054,17.61378,4.175681,6.544741,6.598607,6.700682,8.785199,1.857991,2.763167,2.48303,3.876385,3.961893,2.970328,1.266316,2.559703
15,0.740534,1.011397,2.066064,1.08093,1.628752,0.983979,2.655944,0.959215,22.75546,4.595277,10.49065,5.721372,5.930834,3.883598,7.968703,6.759427,1.1974,0,0.789324,0,1.209663,1.11434,1.202419,0.825335
30,1.177756,1.322038,3.053721,2.096422,1.776309,0.877283,1.238938,1.067393,13.93006,7.175812,12.39458,7.234043,3.828251,4.002768,9.764994,11.31644,0.479188,0,0.610796,0,0.607232,2.039634,0.295681,0.934847
45,1.576045,1.773887,2.62152,2.069161,1.832357,1.292853,0.661796,1.568319,14.78614,5.262492,12.62574,6.312869,5.122321,4.223718,7.883278,11.20472,0.759893,2.206016,0,0.763921,1.233959,0.945091,1.0032,0.520312
60,2.650769,2.311549,2.917249,1.867593,2.846928,2.132079,1.32501,2.071577,12.85282,6.225586,10.75149,7.083333,4.616044,4.775281,10.50145,7.184939,0.352717,2.332216,0,0.744917,0.677503,1.471014,0.681357,0.702125
75,2.673376,2.671114,3.908078,2.551791,3.657248,2.286598,2.066865,3.213193,13.19693,4.956869,8.732463,6.260405,6.100904,4.495921,8.868907,5.300639,1.02047,1.806887,0.447615,0,0.666124,1.641256,0.902409,0.475726
90,3.292969,3.205616,4.492487,3.306316,5.22626,3.119783,2.38642,3.55294,13.25052,6.711409,10.11122,6.793478,6.421405,4.743083,5.630278,6.864989,1.518251,1.572,0.79514,0.640281,1.399632,2.60432,1.19549,0.425791
105,3.498972,3.88055,4.636138,3.442643,4.388138,3.152792,3.217536,3.442643,12.37715,5.918485,8.905299,7.120799,7.493052,5.53686,5.831228,7.902542,1.95305,2.209586,0.755111,0.614232,0.925839,2.156518,0.936372,0.791414
120,3.981964,4.906524,6.011828,4.826043,6.749646,3.968117,4.160612,4.841821,15.30153,8.851879,11.977,8.663366,10.16154,7.367272,6.647237,8.910891,3.121132,3.723275,1.150831,1.25625,1.295817,2.340694,1.490997,1.196864
135,5.588206,5.362867,7.825302,5.25045,6.405988,4.867341,4.295231,5.560888,15.07937,10.14169,14.20389,9.69697,9.876543,8.888889,6.91358,10.61061,3.124766,3.268036,1.154606,1.265401,1.898102,2.391441,1.67033,1.436401
150,6.61246,6.363596,10.20498,7.262047,8.818495,6.849593,6.178748,7.119493,20.20212,15.1288,16.8166,15.45769,12.81986,11.26471,8.97543,13.93271,4.740869,4.439535,1.156452,2.534447,1.905215,2.13844,1.685565,1.799703
165,6.285815,6.946427,9.758799,7.049847,7.950807,6.250346,5.900923,7.295365,21.87049,13.13847,20.60665,14.7539,16.0127,12.46779,9.436364,14.02373,5,0,0,0,2.259289,3.089798,0,0
180,7.183379,7.444722,11.60648,8.32801,9.049192,6.740623,7.040059,8.328807,23.95298,19.17546,23.26203,21.10814,19.78064,18.57053,13.8173,18.44197,6.450659,6.689842,4.396454,1.855537,2.259289,3.089798,2.40736,4.071567
195,8.937888,8.720763,13.89868,11.07377,10.45297,8.084925,8.689998,10.59336,27.57806,19.83259,23.52909,25.5083,24.0865,18.88818,14.04506,19.44935,7.764505,8.196272,5.681818,6.226054,3.715403,3.643498,2.879291,3.925121
210,8.613536,8.17879,13.23151,9.418958,10.03224,7.825636,8.093498,10.16333,29.04563,18.5357,25.68481,24.43599,24.24663,19.55511,15.55527,21.56587,8.963288,8.481178,8.565218,8.534683,3.804797,4.83632,3.804797,4.57521
225,8.174249,8.558424,13.24384,9.59647,10.45215,7.804408,9.079616,10.38961,31.58598,23.14449,28.58687,26.01859,29.8574,22.76318,16.9037,25.80894,8.357254,9.444864,9.818266,7.734695,3.559409,5.071861,3.796957,5.354547
240,10.73269,9.682674,15.2639,11.57575,11.93122,10.08048,11.13188,11.67166,40.55743,27.79112,33.65561,30.09766,35.43907,27.33871,20.05542,33.04454,11.94438,14.28912,12.77108,12.36266,5.527977,6.373906,5.598927,6.170528
255,13.34715,14.00559,17.98182,15.20339,16.39604,13.00304,13.51049,15.42433,40.45353,27.87088,36.76643,30.56048,37.98545,30.07957,23.69082,34.29934,11.47289,16.78857,14.61711,13.18931,6.921661,8.298019,7.163008,6.263727
270,12.15076,12.79742,17.60373,15.66787,16.1237,13.27374,13.7326,15.85611,43.56052,25.36822,44.48146,29.95009,37.55395,31.30912,22.2149,35.01647,12.8608,20.93142,17.37703,17.66138,7.516,10.1619,8.068842,7.776455
285,14.5305,14.37551,19.53045,17.63531,20.27316,14.7049,16.3219,18.48451,48.88722,26.47386,44.06682,32.45905,39.24331,32.23576,24.87857,35.34831,13.9245,24.50668,20.48919,19.98581,9.981573,12.55228,9.116809,9.82906
300,16.52563,17.14321,21.63385,19.30299,21.98786,16.6117,17.77668,20.94082,45.21277,27.18876,49.02589,31.99016,40.28046,31.72492,25.0435,35.97782,13.01489,25.8527,22.73985,21.3348,10.80943,13.63248,8.722481,11.89095
315,18.09249,17.12378,25.61336,20.91815,23.27786,19.94266,19.20875,23.24402,45.88737,28.13019,48.05103,34.8622,41.67435,31.76333,27.50388,36.98832,20.14434,32.66728,28.86525,25.57672,15.54573,16.694,12.81603,16.24292
330,18.13542,18.44932,24.93151,20.73333,24.1714,20.55631,18.63325,24.72175,51.29825,29.21644,50.57094,36.33003,42.82083,31.85718,28.46897,40.05822,20.9501136,33.9739712,30.01986,26.5997888,16.1675592,17.36176,13.3286712,16.8926368
345,18.76023,17.71619,25.43067,20.8887,25.45673,21.03645,19.1259,26.4523,45.75597,29.41455,51.85676,35.98285,43.24388,34.1617,27.90421,41.71242,25.82091,43.41637,0.435192,43.12458,18.61796,25.54958,26.01246,22.75117
360,20.06301,17.33235,26.76844,20.81003,26.32553,21.53064,20.27429,25.33228,47.6676,29.2606,50.53915,39.92593,40.27258,33.2716,26.46605,41.39785,26.68415,47.02544,35.08084,44.23825,21.38937,29.23502,26.01246,28.01756
375,22.74693,20.21007,30.09869,23.13952,29.56469,22.98317,21.94762,27.64751,48.09496,28.46358,50.04608,40.53594,40.24995,32.73016,26.52359,41.63942,30.91292,49.28591,34.9563,47.65243,24.12956,31.4487,30.06422,32.53902
390,25.25695,22.90836,32.02875,27.35848,31.65213,26.927,23.89058,32.18126,50.31563,28.96379,52.33076,38.52711,40.97178,32.26408,24.24108,41.02751,36.33352,55.20176,40.70925,53.19517,29.65908,32.22792,35.00118,34.43687
405,21.71694,19.70234,27.2694,24.08657,27.76224,24.30328,21.2152,28.8616,49.67102,33.61141,52.90677,41.21558,40.36353,38.04551,24.6941,38.61619,39.00162,56.11287,37.76156,53.76269,29.54315,36.95238,34.37947,34.41878
420,22.63232,17.84063,27.25165,23.03151,27.90669,24.65625,21.12459,28.99852,50.5652,35.42765,58.45024,42.60046,45.04562,37.5601,26.33059,38.72769,42.11483,54.39156,37.81634,51.20704,32.96707,36.96863,38.62397,35.02089
435,25.67445,22.84384,31.1839,27.84912,31.21783,26.71505,23.43092,31.0846,45.29221,26.62214,53.25292,40.8362,38.54974,34.36359,24.34771,35.50195,41.33879,54.79436,41.90157,53.69001,33.82265,37.16014,42.36203,37.64783
450,24.06878,21.21373,28.51765,25.91628,28.8918,25.15464,21.69129,30.0107,40.98577,26.82836,51.45927,40.36068,37.17162,33.04814,23.39835,37.02927,40.62194,58.58509,39.60892,59.62963,34.53662,40.61854,44.3893,39.40257
465,23.26731,23.61712,25.75,26.66215,27.46169,28.16212,21.27845,27.34976,42.41111,25.7037,56.13235,39.90052,35.89115,34.67846,24.45998,33.5109,41.45034,57.04415,41.49226,57.3744,32.64845,38.88296,45.95135,39.60042
480,30.49143,31.57327,31.97184,32.72716,35.34099,36.77823,25.26818,34.44339,40.70256,23.91532,51.10921,38.75262,31.68537,32.44016,22.89079,31.99961,42.37922,53.63993,46.20558,57.60465,36.37267,43.05772,48.57914,42.18889
