frame,experiment 1 frame 1,experiment 1 frame 2,experiment 1 frame 3,experiment 1 frame 4,experiment 1 frame 5,experiment 1 frame 6,experiment 2 frame 1,experiment 2 frame 2,experiment 2 frame 3,experiment 2 frame 4,experiment 2 frame 5,experiment 2 frame 6,experiment 3 frame 1,experiment 3 frame 2,experiment 3 frame 3,experiment 3 frame 4,experiment 3 frame 5,experiment 3 frame 6,experiment 4 frame 1,experiment 4 frame 2,experiment 4 frame 3,experiment 4 frame 4,experiment 4 frame 5,experiment 4 frame 6
minute,,,,,,,,,,,,,,,,,,,,,,,,
0,5.783659,6.442487,0,8.278756,6.164293,6.079477,5.355897,6.559818,8.168896,7.626473,9.652209,13.74615,10.03989,15.45736,23.0371,26.00792,0,6.637743,6.622944,0,6.148865,5.581249,6.176457,9.754272
15,5.573125,6.325816,5.507269,8.62979,5.544469,5.781534,0,0,8.951335,7.889582,10.50365,17.94533,9.369048,12.49947,26.09195,12.3553,0,5,5.932238,0,0,6.378675,7.407722,6.729578
30,5.825959,6.806785,5.491364,9.076847,5.917732,6.360403,5.370622,0,9.918486,8.835174,10.31542,22.82228,10.20745,15.98887,20.85904,11.47065,0,5,5.684734,0,0,5.539273,6.782185,6.90855
45,6.185501,6.799864,5.841404,8.040054,5.577406,6.50936,5.374059,5.807826,11.17997,8.993856,11.05735,19.5945,8.683744,12.06425,20.01589,10.75585,0,6.149944,5.582721,0,5.454657,5.890585,6.48329,6.593535
60,6.914445,6.358719,5.85759,10.26829,5.839885,7.5011,5.361617,6.675447,12.73665,10.66499,11.81818,25.78804,11.09508,16.83478,19.57412,11.97725,0,5.478747,5.559209,0,6.056284,6.218541,5.689595,5.513207
75,7.10795,7.501577,6.006899,9.884053,6.348748,7.826331,5.364162,6.833542,14.28083,10.55271,13.38181,20.48027,12.41473,17.22226,18.05851,13.82097,0,5,5.550142,0,5.814687,6.975433,5.705916,6.039318
90,8.861008,9.437391,6.961809,10.47662,7.639525,10.44402,6.079806,9.105928,15.81948,13.43882,15.81549,21.65125,13.9441,20.2592,16.12235,18.98866,0,5.766614,5.462041,0,5.655628,8.098332,6.471214,6.382386
105,8.679474,10.85201,8.174398,12.72949,8.640648,11.00586,6.662257,9.89087,16.11548,16.77738,19.23392,29.39133,15.8417,25.10903,15.62566,23.21465,0,5.368264,0,0,5.970221,7.413192,5.558962,7.160291
120,10.23363,12.57738,9.233079,16.12123,8.503489,14.49236,7.075253,10.96032,21.23595,16.67366,21.75902,31.81919,19.18773,26.69791,18.47866,23.87901,0,6.052679,5.448416,5.514277,5.969002,7.731432,5.576423,7.171092
