,VH 1,VH 2,VH 3,VH 4,VH 5,VH 6,VR 1,VR 2,VR 3,VR 4,VR 5,VR 6,VL 1,VL 2,VL 3,VL 4,VL 5,VL 6
GMFI,,,,,,,,,,,,,,,,,,
No Tar,838,903,1002,809,778,983,1102,834,918,789,876,956,884,869,834,889,1000,793
Trz -,609,749,813,717,611,1000,897,713,861,734,723,575,671,792,707,758,983,814
Trz +,480,627,602,656,414,882,578,610,425,606,506,471,623,727,572,708,882,742
Normalized,,,,,,,,,,,,,,,,,,
No Tar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Trz -,0.72673,0.829827,0.910909,0.885914,0.785668,0.541929,0.813938,0.854722,0.938236,0.93021,0.824951,0.601541,0.75905,0.911009,0.968641,0.852699,0.875363,1.021127
Trz +,0.572792,0.694721,0.546818,0.810544,0.532134,0.507681,0.524872,0.730912,0.462951,0.768141,0.57718,0.492995,0.704751,0.836977,0.820557,0.796102,0.602834,0.935451336
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,
