LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(pixel),(pixel),(pixel),(pixel),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(pixel/sec),(quality),(pixel),(pixel),,(pixel/sec),,(rad/sec)
Track_0,0,0,3,0,0,0,0,0,2.0,0.0,2.0,2.9593310797656414,350.46953650481163,345.9467787155516,0.0,1.6351394704423394,2.021023600230248,1.2492553406544304,2.021023600230248,0.5457225698506004,15.24871826171875,3.270278940884679,2.9593310797656414,0.904917021838229,1.4796655398828207,0.904917021838229,0.9066530050301198
Track_1,1,1,93,1,0,0,0,1,93.0,0.0,93.0,72.64260772438098,56.70000509242187,367.6548118174713,0.0,7.981205457021529,89.73362331132417,0.0,2.0750819814204386,17.03399199458711,38.460350118657594,734.2709020459806,147.1378055580021,0.0989316170938666,0.7811033088643116,0.09786783626490027,1.4641380120270289
Track_2,2,2,3,0,0,0,0,0,2.0,0.0,2.0,3.5457021666499076,357.25413249045715,336.944448197801,0.0,2.165277301598396,2.4769374579142016,1.8536171452825907,2.4769374579142016,0.4407540199131309,13.8482666015625,4.330554603196792,3.5457021666499076,0.8187639901901916,1.7728510833249538,0.8187639901901916,1.2378785105502215
Track_3,3,3,18,1,0,0,0,1,18.0,0.0,18.0,297.6790007449838,413.2770396553148,259.1362288299831,0.0,34.730747286932264,102.89801865351693,0.42761584550020243,20.938488350178485,38.28511011089196,26.262291802300346,653.4162087396875,404.84825102855314,0.45557333406091743,16.53772226361021,0.4761694911710888,0.8208361849907027
Track_4,4,4,37,1,0,0,0,1,37.0,1.0,38.0,280.1223202588615,1607.089615148885,51.075994478068345,0.0,16.91496151759673,56.115137743366745,0.9548911532509835,4.032591695216711,19.44944330805975,38.76708654455236,665.0537523768493,280.1223202588615,0.4212025257473198,7.570873520509771,0.4475844365731337,1.5662661287024187
Track_5,5,5,32,1,0,0,0,1,32.0,1.0,33.0,56.57624123003642,1019.9249339926885,219.97515547953574,0.0,11.584963038583146,51.05046923348264,1.081702068285506,8.537642299310454,10.694692287966175,39.27712440490723,368.02672922671934,56.57624123003642,0.15372862006222154,1.7680075384386382,0.15261227269783914,1.7386752378002475
Track_6,6,6,94,1,0,0,0,1,94.0,2.0,96.0,66.35116844715616,152.2097886251739,784.3789982885866,0.0,2.9330270152672457,32.964278282525314,0.10394011019285365,1.4596604935054052,4.787024106350873,46.34447268222241,276.0992329966159,73.75937727672891,0.24031638091500748,0.7058634941186825,0.24066041343787864,1.4901572800901353
