VL,VH,FL
1.118873,0.259167,0.28125
0.466049,0.805987,1.142857
1.037234,0.126447,0.193556
1.101964,0.847424,0.956764
0.307411,0.723611,0.787442
0.064586,0.429696,0.299906
0.90394,0.234462,0.147714
0.074074,0.76951,1.001865
1.03087,0.383397,0.496081
0.707243,0.655387,0.650909
0.764431,0.756968,0.657463
0.679583,1.34131,0.540484
0.971279,0.764062,1.339378
0.699064,0.323518,0.426344
0.54582,1.111604,0.803119
0.694,0.678921,0.997031
0.7324,0.945814,1.245456
1.232,0.224603,0.36006
1.231,0.966687,0.508403
0.4231,0.753994,0.871872
0.324,0.803674,
0.64223,0.784496,
0.7833,0.858528,
0.3242,1.081014,
0.7854,,
0.2314,,
0.9654,,
0.6435,,
0.3532,,
0.84534,,
