VL,VH,FL
0.258389,0.546488,0.094333
0.091854,0.531097,1.058163
0.324121,0.094915,0.978329
0.142876,0.213684,0.275296
0.755976,0.0756,0.234454
1.593999,0.328891,0.214286
1.176039,0.951564,0.944725
0.791938,0.575446,0.461932
0.68711,0.367361,0.876767
0.300383,0.431162,0.448467
1.294879,0.229258,0.631579
0.094482,0.567407,2.031482
0.247511,0.072757,0.521054
0.109098,0.48979,0.218844
0.733879,0.161992,0.877091
0.391983,0.231105,0.266247
0.576061,0.625185,0.181228
0.538313,0.419304,0.514074
0.388674,0.155187,0.248284
0.221269,0.08745,0.613228
0.289582,0.084047,0.801265
0.2684,0.169851,0.407064
1.225441,0.069632,1.362923
0.07332,0.688386,1.022396
0.887132,0.333731,0.432721
0.080844,0.404732,0.294869
0.075609,0.986469,0.367977
0.379408,0.22795,1.201417
0.299003,0.68482,1.168967
0.97144,0.072619,0.702026
0.646285,0.121202,0.95232
0.521889,0.101436,1.4215
0.610631,0.393682,0.866432
0.281362,0.098395,0.742134
0.474338,0.363496,0.94123
0.417275,0.570338,1.235132
0.273272,0.7776,0.43252
0.223547,0.694046,0.852342
0.80961,0.551569,0.321542
0.406972,0.21579,0.213124
0.28196,0.020329,0.312541
0.457648,0.741537,0.963243
0.184118,0.338417,0.214151
0.968081,0.047916,0.632423
0.751024,0.564581,0.86432
,0.137465,0.884213
,0.712753,
,0.219828,
,0.371715,
,0.285714,
