VL,VH,FL
1.248335,0.71818,1.209091
0.897801,1.030225,1.300742
1.265459,0.614248,0.670384
1.168007,1.043014,1.137928
1.078265,0.851111,1.070624
0.621696,0.905977,0.732353
1.141386,0.793822,0.663327
0.677672,0.849491,1.147734
1.050485,0.646095,0.614159
0.91053,1.037044,1.286059
0.931773,0.876993,0.942586
0.93696,1.043871,0.946636
0.756919,1.044218,0.53247
1.24456,1.140023,0.822861
0.984038,0.922343,1.19557
0.602773,0.848206,1.155551
1.220025,0.946232,0.498583
0.88863,0.677107,1.326126
0.537138,0.875128,0.623314
0.846294,0.788978,1.251721
0.875354,0.998214,
0.616931,1.191783,
0.673524,1.028958,
0.768799,0.969573,
0.591803,,
0.64765,,
0.684632,,
0.947874,,
