VL,VH,FL
0.642617,0.50991,0.229555
0.471315,1.703424,0.505183
0.667178,0.410441,0.233085
0.227279,0.066776,0.300395
0.505698,0.580937,0.271549
1.536803,0.555004,0.36422
1.732932,0.216629,1.101008
0.845384,0.270909,0.246551
0.068995,0.489927,1.26266
0.465488,0.629976,0.694907
1.049245,0.372271,0.233832
0.321618,0.576148,1.862339
0.799431,0.330841,0.354388
0.084376,1.300157,0.184828
2.14437,1.241792,1.178633
0.238737,0.445745,0.110242
0.334771,0.216889,0.310213
1.197265,0.979562,0.574815
0.452627,0.077806,0.350305
0.377173,0.112304,0.595456
0.793643,0.095465,0.551668
0.616272,0.542994,0.376452
1.007089,0.272534,1.586655
0.98778,0.900703,0.214142
1.312933,0.869743,0.510486
0.366158,0.902615,0.797594
0.239709,0.686281,0.616379
0.530002,0.492197,1.361413
0.412168,1.668366,0.186806
1.072003,0.273387,0.901956
1.39822,0.179811,0.95232
0.562462,0.079744,1.4215
1.144661,1.335527,0.866432
0.12511,0.325916,0.742134
0.877298,0.424263,0.94123
0.065907,0.684205,1.235132
0.601169,0.1656,0.98532
0.150313,0.172166,0.852342
1.166023,0.111134,1.312314
0.643021,1.446309,0.512313
0.778449,0.076402,1.123151
0.698185,0.789629,0.963243
0.329042,0.431704,1.632131
1.155797,0.194058,0.9422
1.396232,0.372703,0.86432
,0.809732,0.884213
,0.841662,
,0.08764,
,0.175693,
,0.135185,
