Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0,27.123,18.368,15.621,114.155,158.1,87.547,0,6.695,0,0,1.03,0,207.882,125.141,115.356,0,0,70.038,76.561,61.111,82.569,54.417,68.15,0,52.185,86.002,0,0,0,0,0,0,9.27,0,89.264,0,0,0,26.951,0,10.643
1,0,24.548,0.515,31.414,168.743,177.498,73.128,0,39.139,0,0,0,0,156.384,86.174,65.06,0,0,70.21,99.907,47.035,84.972,0,77.248,0,52.185,0,0,0,0,0,0,0,51.498,0,69.18,0,0,0,53.043,0,58.708
2,11.845,0,0,0,2.918,2.747,2.06,0,72.441,0,0,79.136,0,183.334,3.948,0.515,0,0,65.231,52.528,38.624,0.343,53.043,70.553,63.171,52.185,0,0,19.054,0,0,80.166,0,71.411,0,95.272,105.228,28.496,0,49.782,0,80.166
3,50.468,21.286,1.373,44.289,124.111,141.449,93.899,0,58.708,0,11.845,74.673,1.03,133.553,63.171,36.564,25.921,0,69.866,60.425,70.21,77.591,79.823,63.686,87.032,52.185,99.22,0,50.125,46.005,0,90.809,0,66.09,0,101.452,130.119,58.365,10.643,55.447,0,82.226
4,34.161,27.981,19.913,36.736,110.893,168.915,77.419,0,65.575,0,87.376,77.934,0,189.343,103.34,94.414,34.676,0,59.738,64.716,79.479,69.008,72.441,63.171,92.525,52.185,143.166,0,52.357,66.09,45.662,65.746,0,70.553,0,80.681,135.098,55.618,56.305,52.7,0,91.667
5,48.58,26.436,17.681,41.199,117.245,170.803,92.869,0,76.561,0,92.525,71.926,0,141.964,129.948,84.457,40.512,0,63,73.299,64.888,97.16,60.94,58.193,81.024,52.185,83.771,0,49.095,94.585,84.972,82.569,89.607,77.934,0,87.891,120.85,61.97,96.645,58.365,0,95.959
6,49.953,25.063,17.509,53.73,119.133,182.991,67.978,5.665,76.218,0,58.708,65.575,0,67.806,125.656,82.397,33.131,0,70.038,94.757,54.932,95.444,74.501,57.163,91.667,52.185,88.234,0,65.575,90.122,101.452,96.817,137.844,83.084,0,73.128,127.373,74.501,72.269,50.64,0,94.07
7,46.692,21.114,19.913,54.073,96.13,154.495,75.703,36.049,80.853,0,30.899,67.12,0,108.49,67.978,78.964,33.989,0,45.49,89.264,66.776,85.316,64.888,44.117,83.599,52.185,85.487,13.218,63.171,81.882,89.092,103.512,137.844,82.741,0,70.896,137.329,64.545,62.656,45.319,0,78.964
8,45.49,17.338,21.114,48.409,122.051,202.56,66.261,50.812,81.711,0,39.654,57.678,0,90.466,117.073,57.163,36.564,0,41.714,90.981,55.275,85.487,56.82,32.101,83.942,52.185,94.585,59.91,55.618,64.201,95.959,97.504,135.098,82.569,0,70.553,133.209,56.133,55.79,55.618,2.403,67.635
9,32.616,14.42,17.681,45.662,118.275,163.422,66.605,78.964,71.754,0,61.97,59.052,0,185.223,101.109,61.798,31.071,0,26.436,77.419,73.299,80.853,58.193,33.817,77.248,52.185,92.869,60.768,72.441,75.359,70.038,102.825,168.057,86.002,0,64.888,111.237,65.575,56.477,52.357,18.883,71.926
