Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0,0,0,5.665,47.722,15.793,11.158,0,1.03,0,0,0,0,0,30.727,15.45,0,0,33.646,10.128,34.847,0.343,30.727,29.526,0,0,0.858,0,0,0,0,0,0,12.016,0,1.888,0.172,0,0,7.896,0,3.262
1,0,0,0,14.591,59.567,20.943,22.659,0,2.06,0,0,0,0,6.18,35.362,23.689,0,0,25.749,15.278,31.414,2.232,10.815,35.877,0,0,0,0,0,0,0,3.262,0.858,43.087,0,3.777,0.172,5.322,0,23.174,0,15.278
2,0.515,0,0,8.068,38.624,21.801,9.785,0,0.687,0,0,3.777,0,1.545,15.106,4.12,0,0,29.697,19.569,31.757,0,35.706,29.697,0,0,0,0,0,0,0,20.771,0,68.15,0,9.613,2.232,7.896,0,36.564,0,41.542
3,9.27,0,0,23.861,72.784,55.79,48.58,0,10.815,0,0,14.591,0,0,41.542,44.117,1.888,0,44.804,42.057,53.73,4.12,53.902,35.877,4.463,0,7.381,0,1.373,9.785,0,33.989,0,77.763,0,19.398,7.381,22.144,1.373,46.005,0,52.185
4,21.973,0,0,29.011,78.964,68.321,63.515,0,19.913,0,0,22.144,0,18.024,55.275,56.477,8.583,0,43.602,49.953,62.485,11.33,49.953,36.049,7.553,0.172,14.076,0,1.888,25.578,5.322,46.177,1.03,75.016,0,24.891,23.346,30.384,4.292,47.722,0,59.223
5,26.951,0,0,31.071,82.054,71.239,75.016,0,22.144,0,0,22.831,0,25.234,56.992,60.425,15.278,0.172,41.199,60.081,62.313,13.218,49.953,43.945,10.643,0,13.39,0,7.038,35.019,11.673,48.923,6.695,77.076,0,28.496,30.212,38.967,10.3,46.005,0,68.836
6,33.817,0,0,26.608,78.964,73.643,76.218,0,23.003,0.172,4.807,27.294,0,51.842,61.798,63.171,19.569,0,43.43,58.365,62.485,15.621,48.752,45.319,14.935,0,17.853,0,8.068,42.744,26.779,47.894,22.659,74.844,0,31.071,38.795,42.4,16.651,46.692,0,66.433
7,37.079,0,0,36.049,81.196,76.218,75.874,3.09,30.384,0,6.866,26.093,0.172,56.992,60.768,58.193,26.264,0,41.714,53.043,69.008,21.286,47.55,42.915,17.681,1.888,17.853,1.545,19.913,47.894,37.079,49.438,41.027,71.068,0.515,30.556,40.855,41.199,22.144,50.64,0.515,67.635
8,37.766,0,0,33.817,85.659,76.389,73.986,6.008,31.929,0,5.836,28.496,0.343,54.932,61.455,57.85,28.496,0,42.744,55.447,65.575,23.861,45.834,43.259,18.368,1.717,17.681,3.09,22.659,51.327,47.207,48.752,59.052,73.128,5.493,32.616,41.027,37.422,23.346,48.923,1.545,74.844
9,33.646,0,0,35.534,89.436,76.218,76.904,5.836,36.049,0,0.343,30.041,0,16.823,61.455,56.133,33.989,0,40.169,51.842,75.531,26.608,42.4,44.975,25.921,13.046,18.539,28.152,23.003,49.953,47.207,48.752,75.188,75.188,10.471,28.152,46.349,42.572,26.264,52.185,2.403,72.613
10,35.534,0,0,39.482,86.174,81.711,77.934,8.068,43.945,1.202,8.411,38.28,3.09,51.67,55.962,49.438,37.766,0.172,45.147,56.305,74.844,25.921,44.632,44.46,24.891,22.831,14.248,40.512,30.556,54.588,51.498,50.297,87.547,75.531,15.621,31.929,42.572,47.894,31.929,50.983,4.463,72.784
11,36.907,0,0,38.624,89.264,84.286,81.024,13.733,47.207,10.128,11.158,37.079,4.635,48.923,58.193,48.065,36.049,0,40.512,53.73,74.158,31.414,44.289,46.005,26.264,38.452,20.084,52.185,32.444,53.73,56.477,57.163,89.092,73.299,24.548,30.556,46.52,43.945,32.787,47.894,10.986,78.449
12,37.594,0,0,39.825,84.286,85.659,87.204,18.196,45.662,27.637,10.815,41.885,2.232,51.498,58.537,49.953,35.706,1.373,44.289,51.327,78.793,31.586,43.43,44.46,23.861,41.714,17.338,63.686,32.787,56.305,53.902,56.992,88.062,77.419,34.504,33.646,46.005,42.744,30.727,52.7,12.188,77.419
13,34.161,0,0,38.967,84.629,80.338,86.517,25.063,44.975,36.049,1.888,37.594,0,21.973,55.962,50.812,32.616,6.866,39.31,56.133,76.389,31.929,49.438,46.177,26.779,47.55,16.479,65.403,32.616,54.588,49.61,54.417,79.136,79.308,37.594,34.504,46.692,43.087,32.616,50.812,24.376,85.487
14,34.504,0,0,41.714,85.831,78.793,84.972,28.324,44.117,42.229,9.956,34.847,5.665,45.147,56.133,49.095,32.272,9.956,37.594,50.297,84.286,32.101,48.237,46.692,30.384,52.528,18.539,68.665,32.272,50.812,55.962,53.558,80.338,79.479,39.997,33.474,44.975,42.229,33.989,53.387,21.973,76.046
15,34.847,0,0,41.37,86.002,79.479,84.286,33.989,47.207,43.602,15.278,39.139,10.815,53.043,54.932,55.962,29.869,8.755,36.049,52.013,73.299,34.504,45.147,45.662,28.152,56.992,19.398,70.553,34.161,54.417,58.88,51.842,82.054,83.942,45.319,33.646,47.722,41.199,31.586,54.245,27.809,79.651
16,33.646,0,0,42.744,80.853,76.046,79.136,29.697,46.864,45.834,10.3,38.795,8.068,50.468,51.67,57.678,28.496,8.24,35.877,54.073,75.359,34.332,48.58,47.207,27.294,56.305,19.226,70.896,30.899,53.902,51.67,53.215,82.397,78.793,38.795,31.071,45.147,40,36.221,48.923,25.234,76.561
17,29.697,0,0,43.087,79.823,74.501,84.286,31.414,45.147,46.52,8.583,42.229,10.128,41.714,53.043,58.022,30.556,14.935,34.332,47.894,78.793,32.787,46.692,42.744,27.466,51.842,16.823,63.686,32.787,52.7,53.387,48.752,83.427,81.711,46.52,30.384,48.58,45.834,35.534,54.417,25.063,76.561
18,31.757,0,0,46.692,76.046,72.098,80.681,35.019,44.632,46.864,14.248,41.37,14.42,51.498,53.73,54.417,33.817,10.815,38.795,48.409,71.926,33.817,46.692,35.019,26.093,52.7,17.681,61.455,29.011,56.305,53.558,50.64,83.084,76.389,43.602,29.526,47.55,44.289,30.899,51.327,26.436,66.433
19,30.727,0,0,44.632,75.531,76.733,81.368,33.817,45.662,47.894,13.046,38.624,14.591,54.932,52.013,57.85,33.646,16.651,35.191,55.275,76.389,32.959,48.923,29.182,29.697,51.67,15.278,59.223,32.272,57.85,52.013,53.73,75.531,71.583,45.319,29.697,43.259,45.834,36.221,52.7,26.093,60.253
20,30.727,0,0,44.975,73.643,69.866,81.024,30.899,44.632,50.125,9.27,37.079,15.965,49.953,49.438,57.335,30.556,19.569,34.332,53.215,69.18,29.354,51.327,22.316,29.011,53.043,16.651,58.537,31.757,59.223,54.588,51.67,79.994,66.261,44.632,27.466,44.117,46.349,32.444,54.932,30.384,49.438
21,31.071,0,0,43.43,60.253,70.724,76.733,31.757,44.289,48.237,3.777,33.302,13.046,37.766,49.953,59.91,31.414,15.965,35.362,57.507,70.724,28.839,49.61,23.003,26.093,48.237,18.883,54.932,33.474,57.163,55.962,51.498,79.823,69.18,44.632,25.749,46.52,46.349,34.676,54.932,26.436,47.379
22,31.071,0,0,41.199,58.022,72.441,74.501,28.496,44.289,54.073,12.875,32.616,17.681,52.185,48.409,57.678,31.071,19.741,35.019,53.73,76.218,30.727,49.953,23.861,30.727,44.46,17.681,50.125,33.302,62.485,51.842,50.468,84.629,63.171,51.67,27.809,37.594,50.468,34.161,54.073,37.251,41.885
23,35.877,0,0,41.714,51.842,67.291,76.046,28.496,47.207,52.357,13.733,33.646,20.771,53.043,48.409,51.67,29.526,18.711,32.444,61.283,80.166,39.31,47.894,22.316,31.071,42.229,19.569,45.49,30.899,57.85,52.357,48.237,91.324,63.515,46.005,26.608,34.676,45.834,37.422,53.73,33.817,38.795
24,35.534,0,0,40.169,49.782,73.128,74.501,30.041,44.975,55.447,6.351,32.959,15.45,41.37,46.005,48.065,27.294,16.823,30.899,53.558,76.733,40.512,45.319,25.234,30.212,36.736,20.084,41.027,28.152,57.335,50.297,50.468,83.084,62.141,48.065,25.749,32.959,49.782,36.392,52.7,32.787,37.937
25,35.191,0,0,40.169,50.468,74.329,73.814,26.951,42.915,50.468,7.381,34.332,18.196,42.229,46.864,45.49,28.667,19.398,28.324,61.626,81.368,41.027,49.095,28.496,27.637,35.019,18.711,38.967,28.152,58.537,49.267,48.409,88.406,60.768,49.438,24.033,32.444,47.55,38.28,51.155,32.272,34.847
26,34.504,0,0,36.392,48.58,72.956,72.613,29.697,41.199,53.902,13.905,33.474,23.003,55.447,49.438,46.52,30.041,21.286,28.496,61.455,78.964,38.109,47.55,27.981,27.809,35.019,12.703,37.937,27.294,57.85,48.752,47.379,89.779,61.455,48.409,21.801,32.444,47.207,36.736,47.379,32.272,38.109
27,33.302,0,0,38.28,47.207,71.068,73.986,29.182,42.572,56.992,14.248,29.011,21.973,48.923,47.894,48.237,29.182,25.578,28.324,52.528,76.218,38.28,46.177,26.264,28.152,30.556,21.973,33.989,25.578,54.073,49.953,48.237,86.689,58.193,47.55,24.376,32.101,45.49,38.109,48.237,38.967,42.229
28,32.616,0,0,34.332,42.915,73.299,73.986,27.981,43.259,56.477,12.36,27.294,25.921,54.588,48.065,48.065,28.496,28.496,30.384,56.82,72.784,40.855,47.035,26.264,26.608,31.757,18.539,34.676,24.548,57.335,46.177,45.834,88.406,56.305,44.632,23.174,34.332,43.602,39.997,54.245,40.34,44.975
29,30.041,0,0,34.161,41.714,76.389,74.158,27.294,44.632,55.962,13.733,26.264,27.809,55.447,48.065,48.409,29.011,28.324,29.182,58.708,70.724,38.967,45.834,29.011,29.011,32.959,18.024,38.967,24.891,59.567,49.953,45.49,84.801,49.267,42.572,24.204,34.847,45.49,33.989,51.842,36.907,43.774
