Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,14.591,0,1.03,0.687,0.343,0,0,0,0,0,0,2.918,0,4.463,0,0,0,2.747,0,1.03,0,0,0,0,0,0,1.03,0,0,0.343,0,2.918,15.621,0,0.343,4.978,0,0,0,3.605,0.172,10.128,3.262,7.553,4.807,5.493,0,0,0,25.578,0
1,0,43.602,0.343,9.785,2.747,0.515,0,1.545,0,0.172,0,3.262,3.777,0,19.741,0,0,2.232,3.948,0,5.322,0.172,4.635,0,0,0.172,0,2.747,3.948,0.858,1.717,0,11.501,54.245,0,0,24.891,0,0,0,12.875,10.986,46.177,8.583,17.338,12.188,18.196,0.515,2.575,0,67.978,1.545
2,0,66.948,10.643,21.973,3.433,0,0,2.06,0,3.777,0,6.008,11.501,0,43.945,3.433,0.858,16.651,7.21,0,15.965,0,15.106,0,0,0,11.673,9.613,12.703,10.815,0.343,0,21.286,58.022,0,0,36.907,0,0,0,40.512,25.578,86.346,18.539,33.131,31.757,25.578,15.278,1.03,0,90.981,4.12
3,0,85.487,26.436,36.564,5.665,1.545,0,1.888,0,2.575,0,12.875,25.234,0,48.065,8.583,2.232,42.229,19.913,0,44.804,0,28.839,0.172,0.858,0.172,37.422,18.539,26.608,39.997,0.687,0.172,40.855,60.94,0.172,0,54.245,0,0,0,48.752,51.327,95.272,30.899,41.37,40.684,31.586,31.414,4.463,0,101.795,5.493
4,0,93.212,34.676,50.297,14.935,13.733,0,9.441,0,7.725,0,21.801,40.512,0,58.88,13.39,6.18,45.834,36.221,0,47.894,0,44.632,4.635,3.433,0.515,63.858,28.152,39.654,72.441,0.687,0,56.992,55.275,5.493,0,62.656,0.172,0.515,0,55.447,65.918,106.087,45.49,49.782,43.087,50.812,44.117,9.785,0,99.049,6.351
5,0,102.139,52.357,61.97,14.935,28.152,0,9.785,0,20.771,0,25.749,41.199,0,60.596,21.973,14.935,49.953,42.744,0,47.722,0,51.67,13.046,11.33,5.15,80.166,24.719,50.125,80.853,0.687,0,73.986,53.902,12.36,0,69.008,1.03,2.747,0,57.507,69.18,111.752,52.185,53.387,52.013,60.253,47.207,32.959,0,96.302,13.046
6,0,99.907,49.782,64.373,28.496,42.915,0,11.673,0.343,28.496,0,26.779,43.43,35.019,62.141,27.294,13.733,52.7,43.774,0.172,53.215,0,53.387,31.929,12.188,13.905,83.942,26.608,59.052,87.204,0,0,77.076,55.447,21.629,0,69.18,7.553,8.411,1.03,59.223,79.651,101.452,60.253,52.872,54.245,62.485,47.207,43.43,0,90.981,15.106
7,0,99.049,52.7,70.21,33.131,48.237,0,13.905,0.858,36.907,2.06,31.242,57.163,63,69.695,24.376,21.629,50.812,49.61,5.836,58.88,0.172,65.231,41.885,21.286,32.101,87.891,26.951,71.411,86.517,0.515,0,77.248,58.193,24.548,0,67.12,14.763,15.621,2.232,69.523,81.882,112.61,64.716,55.103,54.073,64.716,56.992,52.185,0,94.585,16.136
8,0,102.31,56.133,76.561,37.766,50.297,0,17.681,6.523,36.907,1.888,35.191,60.253,73.986,70.896,25.749,23.003,53.215,48.752,9.613,53.558,0.172,61.626,60.081,26.951,37.766,87.032,30.041,82.741,91.324,0,0,74.501,64.201,29.011,1.373,67.806,18.368,20.084,4.463,72.098,79.479,106.087,58.022,54.417,61.626,61.798,58.537,50.468,0,100.25,21.801
9,0,99.049,58.365,76.904,55.275,55.275,0,18.368,18.368,37.422,9.441,35.191,57.163,82.226,70.896,23.861,27.466,55.79,29.526,1.202,24.204,0,60.081,70.896,48.065,32.787,84.457,39.997,77.076,96.13,0.343,0,75.531,59.567,26.951,7.553,72.098,23.861,26.951,7.725,72.956,82.741,110.378,66.433,54.073,58.88,53.902,58.708,55.79,0,101.109,23.861
