Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,0,31.242,38.452,0,13.905,141.449,88.234,0,0.687,0,0,0,0,41.542,49.953,57.335,0,0.172,33.817,0,7.038,0,0.343,3.262,0,0,25.749,0,0,0,0,5.322,0,44.804,0,0,0,0,0,1.03,0,0
1,0,13.561,2.918,0,9.956,155.525,86.861,0,21.458,0,0,0,0,101.967,14.591,55.618,0,0,20.084,0,6.523,51.842,0,11.501,13.39,0,31.757,0,0,0,0,27.809,0,48.923,0,0,0,17.338,0,3.948,0,15.621
2,0,0.343,0,4.807,18.024,129.776,58.365,0,6.18,0.172,0,24.891,0,46.177,0,2.403,0,0,31.586,0,5.15,22.488,9.785,7.553,16.823,0,60.596,0,0,0,0,60.081,0,54.417,0,13.39,0,40.169,0,38.452,0,4.12
3,22.831,21.629,13.046,9.441,43.43,147.114,88.234,0,62.656,0,0,63.343,0,0,30.727,82.912,20.599,0,28.152,0.172,41.199,61.798,29.526,26.779,43.259,0,68.836,0,0,13.39,0,57.85,0,70.553,72.269,56.305,3.262,40.855,0,24.033,1.202,5.836
4,25.406,31.757,40.855,14.935,48.58,144.711,94.585,0,63.515,0.172,1.03,50.125,0,128.574,30.727,78.621,20.256,0.172,39.997,0.858,25.063,44.117,23.174,31.242,54.073,0,72.269,0,0,16.479,0,75.703,0,80.338,93.04,58.88,0.515,23.346,0,32.616,11.845,0
5,23.518,35.019,18.883,5.836,53.387,157.414,92.182,0.343,67.806,0,13.046,48.752,0,109.863,39.31,82.741,46.864,0,39.482,0,34.332,51.67,50.812,25.234,72.098,0,54.073,0,0,35.019,0,94.414,0,52.528,98.362,90.466,23.689,24.033,0,50.812,11.845,0
6,8.926,25.578,28.839,12.531,41.027,151.749,92.525,1.373,70.724,0,43.602,32.101,0,144.539,36.221,60.596,33.817,0,29.526,1.545,17.509,43.602,37.766,24.719,54.932,0,63.343,0,0,56.82,0,82.912,0,64.545,75.531,77.248,26.951,24.891,0,40.512,8.583,0
7,13.046,32.101,15.106,25.234,40.855,157.585,83.256,22.144,64.545,0,60.253,44.804,0,145.054,92.354,43.774,33.817,0,7.553,7.725,28.324,66.261,43.087,23.861,84.457,0,63.686,0,0,31.929,0,85.144,0,51.327,82.569,91.324,22.316,29.354,0,39.31,26.779,0
8,28.667,27.123,31.929,32.616,36.049,160.16,86.517,55.103,71.926,0.172,23.861,44.117,0,122.223,60.081,17.681,29.869,0,9.27,4.635,31.929,66.948,43.259,16.651,67.12,0.172,73.299,3.605,0,25.406,0,91.152,0,29.526,66.09,93.727,18.711,41.542,0,41.714,24.376,0.172
9,14.591,13.561,13.905,12.531,27.637,162.048,61.283,82.397,69.523,0.172,0,43.945,0,66.433,80.166,26.436,35.534,0,0,13.39,33.646,58.88,46.692,11.673,70.553,0,62.656,0.343,0,54.76,0.172,72.441,0,28.667,102.31,73.814,6.695,34.161,0,19.226,5.493,29.869
10,8.755,26.436,19.913,19.054,31.414,126.686,72.956,98.019,59.395,0.172,7.21,47.207,0,136.127,82.054,36.392,29.011,0.172,0,1.373,34.161,36.221,40.684,7.381,74.501,0,48.923,3.433,0,55.79,0,75.531,0,17.681,81.711,85.487,28.152,49.61,0,29.526,16.308,14.591
11,12.016,18.539,17.338,17.853,28.152,131.149,60.425,104.027,61.455,41.885,35.191,33.646,0.172,129.604,66.261,20.771,20.771,24.719,0,5.493,15.278,50.125,27.637,6.008,69.523,3.09,67.635,1.202,0,53.73,0.172,72.956,0,20.256,62.656,94.07,20.771,49.782,12.36,23.003,8.068,25.578
12,3.777,17.681,14.935,19.913,18.883,151.577,85.831,92.525,78.964,96.474,35.706,36.564,0,103.34,62.485,35.362,27.123,42.057,0,0,32.272,41.027,32.101,0,88.406,12.531,38.624,28.496,2.06,43.259,0.172,57.335,0,31.586,71.583,98.362,31.929,27.981,8.583,13.905,2.06,27.637
13,0.343,14.763,20.599,21.458,19.913,107.117,68.836,84.114,54.417,93.899,0.343,33.646,0.172,77.419,44.289,20.599,25.406,60.94,0.172,0,39.31,33.646,42.4,0,71.411,5.493,43.945,12.875,0,34.332,17.338,46.692,0,27.466,66.09,89.436,29.526,34.847,15.621,15.793,0.515,15.45
14,14.076,11.501,23.003,26.093,12.188,104.713,61.111,84.114,47.207,92.697,22.316,39.31,0,96.302,43.259,25.234,23.689,65.918,0.687,0,32.616,31.071,19.054,0,45.147,2.918,22.488,0.858,0,26.436,9.27,45.147,0,24.719,45.319,91.324,36.907,30.212,5.15,27.637,0.343,4.12
15,8.411,12.531,25.578,26.093,24.719,126.171,51.155,60.253,40.684,93.555,54.245,33.989,0,110.378,51.155,30.041,23.346,61.97,10.3,0,22.659,30.727,36.736,2.575,53.215,1.202,47.722,1.03,0,27.294,12.531,37.422,0,22.831,62.656,81.539,32.616,38.109,8.583,19.913,0.343,43.602
16,3.09,11.501,17.681,14.763,15.106,116.73,59.223,41.542,22.831,105.4,30.556,27.294,0.343,109.177,37.079,21.629,29.354,52.013,9.785,0,27.123,18.368,22.488,6.008,41.542,1.03,51.842,1.545,0,46.52,2.918,34.504,0,18.024,64.373,115.528,17.853,33.646,5.836,13.39,0,9.441
17,7.553,11.501,17.166,11.501,18.539,104.37,58.193,36.907,15.106,90.981,45.662,25.578,0,109.348,45.147,13.046,30.212,56.82,13.046,0,31.929,6.18,29.869,0.172,46.864,7.21,30.212,3.262,2.06,28.496,3.948,32.101,0,3.262,43.087,76.561,16.823,26.608,2.232,1.373,0,18.024
18,13.561,11.158,11.845,13.561,13.905,126.171,48.237,53.558,39.825,100.594,70.896,12.703,0,110.035,48.752,2.918,31.586,58.365,0,0,35.191,12.875,31.414,0,37.937,0,40.512,10.815,0,42.915,4.807,40.855,0,14.248,42.4,80.509,32.959,12.875,7.381,1.717,1.03,8.583
19,25.749,11.501,10.643,6.351,10.815,114.155,44.117,27.466,47.55,102.139,53.215,0,0,107.46,9.613,12.531,26.264,78.278,0,0,33.817,23.689,14.42,0,50.468,0,40.169,0,1.03,53.043,1.373,25.921,0,5.15,32.101,61.283,30.727,10.986,32.101,0,11.33,0
20,15.793,12.36,11.33,2.575,9.098,115.528,49.438,0,41.714,90.981,32.444,0,0,83.256,18.196,27.637,19.226,72.098,0,0,40.684,43.087,16.823,0,46.349,2.232,35.534,0.172,0.343,54.76,6.18,27.809,0,0,25.749,88.234,36.221,24.891,9.613,0,8.068,0
21,19.569,10.986,11.673,7.038,3.433,111.923,50.125,0,35.019,75.016,16.136,0,0,83.256,14.763,17.509,25.063,93.04,0,0,33.817,17.338,29.869,0,32.959,0.172,35.191,0,0,52.357,1.545,23.861,0,0,28.324,79.136,33.131,20.771,8.583,0,27.637,0
22,8.926,15.793,9.441,11.33,12.36,115.528,41.542,0,32.101,74.158,35.019,0,1.03,100.594,12.531,0,22.659,71.926,0,0,33.817,24.033,24.204,0,29.526,0,17.509,0,0,23.346,13.218,33.474,0,9.956,0.172,58.193,27.981,24.033,14.763,0,45.662,0
23,1.03,15.106,11.158,14.42,5.836,99.392,43.774,0,24.891,73.814,54.245,0,24.033,117.76,2.403,0,22.659,65.06,0,0,28.324,0,18.196,0,16.479,0,13.733,0,0,36.049,17.166,21.801,0,12.703,0,54.588,23.346,16.479,1.202,6.523,32.444,6.18
24,8.24,14.935,10.128,0.858,0,103.855,47.722,0,0,68.836,18.883,0,1.545,99.907,0,3.777,25.921,72.956,0,0,31.242,0,8.24,0,0.687,0,12.531,0,0,23.174,21.286,30.556,0,0.343,0,63.171,36.392,32.959,13.733,10.986,25.406,0
25,9.098,15.45,9.956,1.373,0,122.395,47.379,0,8.24,61.97,38.28,5.665,0,75.531,5.15,1.717,24.548,57.678,0,0,30.556,0,24.719,0,4.635,0,20.771,1.202,0,6.008,27.294,19.913,0,0,0,62.828,38.624,27.981,0.172,17.509,9.785,8.755
