Minutes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,0,15.45,0,0.172,0,0,0,0,0,0,0,0,67.463,0,0,0,20.256,0,0,0,0,0,0,0,0,33.302,1.373,0,6.008,0,12.36,0,0,0,39.482,0,0,5.493,111.923,10.815,23.174,37.079,0.858,0,20.771,0,0,9.613,0,75.703,0,0.343
1,0,88.234,0.858,13.39,0,0,0,18.883,0,0,0,0,98.705,14.763,41.885,68.665,104.713,0.343,0,0,62.656,0,0,0,0,70.381,1.202,0,9.441,0,68.836,12.016,0.172,0,68.493,0,0,14.076,128.746,66.776,79.994,94.757,14.935,0,97.675,0,0,85.487,0,80.338,0,0.515
2,0,160.332,47.035,46.52,4.12,0,0,54.76,0,0,0,0,110.55,51.67,82.741,128.918,108.49,0,61.455,0,107.288,0,0,0,8.583,104.542,0,1.373,1.373,0,112.953,39.654,0.343,0,95.444,1.717,76.733,1.888,154.152,120.678,108.147,111.237,44.289,0,107.288,0,0.172,99.907,9.956,126.343,0,56.992
3,0,195.694,33.302,70.381,45.147,0,0,61.455,0,26.779,0,0,129.089,104.713,100.25,100.765,108.318,0,78.964,0.172,134.583,0,47.379,0,65.403,117.073,30.212,59.395,1.888,0,134.926,41.542,12.875,0,97.847,12.016,124.798,1.03,151.234,113.812,115.871,131.149,72.613,0,78.793,0,30.727,107.975,39.825,115.013,0.172,75.016
4,0,160.675,50.983,78.449,91.667,11.501,0,65.06,0,55.447,0,0,106.945,95.272,94.414,113.64,118.961,0,99.22,0,129.776,71.583,68.493,39.139,86.346,109.863,53.215,82.226,4.635,0,132.008,24.719,53.043,0,121.536,2.232,135.613,0,173.378,82.569,107.975,124.626,113.64,0.515,90.122,0,124.626,105.057,52.013,143.166,0.343,73.643
5,0.172,152.779,84.114,104.885,97.16,42.057,0,80.338,0.172,77.763,0,0,123.425,95.787,82.912,117.245,135.441,0,87.376,0,139.046,98.534,64.545,101.452,68.15,118.961,82.569,73.299,3.777,0,131.149,25.406,52.7,0,110.722,70.553,139.389,0,177.67,95.615,95.272,142.822,112.267,0,87.719,0,100.937,98.19,85.659,136.986,1.373,59.223
6,0.343,171.146,77.934,58.88,112.267,56.477,0,67.12,0.172,85.659,0.172,29.697,117.931,110.378,113.983,107.288,109.52,0,95.615,0.172,126.171,127.544,70.038,113.297,94.07,99.735,82.226,96.13,17.509,0,117.588,42.915,42.744,0,112.095,109.52,147.834,0,161.018,85.659,75.359,132.351,114.326,0,101.28,0,132.179,117.588,100.422,138.702,3.09,65.575
7,0,150.547,68.493,50.125,143.681,62.313,0,83.771,0,82.054,31.757,52.528,124.969,95.1,104.37,110.378,118.446,0,85.144,0,118.446,133.209,86.174,120.678,86.174,89.951,66.09,91.152,0.687,0,126.858,47.379,62.656,0,109.005,114.498,159.13,0,119.82,106.602,73.643,112.61,102.654,0,85.659,0,132.008,129.433,112.438,136.642,31.071,69.866
8,0,134.754,62.141,52.013,127.544,62.313,0,91.496,10.815,91.324,66.433,66.433,122.223,100.079,109.863,107.803,124.798,0,82.741,0,124.283,120.163,76.389,113.297,83.599,119.991,73.299,98.534,8.583,0,120.85,56.133,98.534,0,107.288,124.969,156.04,0,107.975,73.128,92.182,133.209,127.373,0,78.106,0,141.106,109.177,75.531,115.013,40.169,73.814
9,0.515,149.345,73.299,32.444,180.931,51.842,0,85.144,59.395,95.444,71.926,76.389,108.147,77.591,101.28,113.812,81.882,0,13.39,0,116.558,130.806,82.397,99.907,86.346,86.689,79.308,100.079,2.06,0,134.411,42.744,58.022,0,104.713,92.525,120.163,32.787,126.858,69.866,87.376,117.931,119.305,0,106.087,0,148.659,103.34,96.302,136.642,27.637,84.457
10,0,154.324,74.844,47.894,161.19,43.945,3.948,61.455,76.046,90.466,80.681,61.283,142.651,103.683,93.04,100.594,134.411,0,67.12,0,125.141,132.179,81.368,108.662,75.359,88.062,63.343,105.743,2.575,0,97.675,38.967,77.419,0,103.169,129.604,167.542,30.899,101.967,55.103,89.092,121.021,115.7,0,70.038,0,127.544,107.975,91.839,144.196,37.079,91.324
11,0,134.411,53.387,66.261,147.457,57.678,74.158,46.864,69.351,85.144,92.354,62.313,143.166,94.757,81.539,96.13,149.86,0,77.763,0,121.193,129.433,54.245,107.288,81.368,100.765,50.812,117.931,3.433,0,122.91,48.065,98.705,17.509,103.855,125.999,133.381,12.188,119.82,53.73,83.084,97.675,116.73,0,63.858,0,112.782,104.542,105.228,107.46,55.103,82.397
