,158VV48LH,,,158VV48LL,,,,,,,
Time (Seconds),3G8,SKOV-3,221,3G8,SKOV-3,221,,,,,
0.514,0.974813,1.014127,0.985564,1.016857,0.979187,0.978777,,,,,
1.014,0.985977,1.021008,0.998412,1.030196,0.975985,0.989139,,,,,
1.514,0.99487,1.017123,0.981624,1.016136,0.978813,0.97283,,,,,
2.014,0.99487,1.022823,0.977202,1.017328,0.983557,0.978777,,,,,
2.514,0.993664,1.027457,0.98428,1.014382,0.977726,0.981161,,,,,
3.014,0.993664,1.019432,0.984235,1.002194,0.980241,0.96654,,,,,
3.514,0.994215,1.014817,0.981291,0.9992,0.986074,0.955615,,,,,
4.014,0.989187,1.009041,0.979768,1.00089,0.995434,0.966611,,,,,
4.514,0.99619,1.008746,0.982209,0.999529,0.99163,0.977827,,,,,
5.014,0.993816,1.004477,0.976139,0.996368,0.998436,0.9782,,,,,
5.514,0.994513,1.008746,0.977006,0.994883,1.003971,0.984633,,,,,
6.014,0.994875,1.00377,0.973018,0.992987,1.005007,0.990648,,,,,
6.514,0.995052,0.999329,0.974454,0.991162,1.008303,0.99354,,,,,
7.014,0.995973,0.996278,0.977024,0.989295,1.010037,1.000404,,,,,
7.514,0.996307,0.995393,0.977787,0.987972,1.013561,1.004602,,,,,
8.014,0.996589,0.991165,0.981291,0.987094,1.01327,1.007698,,,,,
8.514,0.996339,0.992129,0.981976,0.985513,1.011926,1.005046,,,,,
9.014,0.99672,0.990419,0.98236,0.985569,1.012273,1.003434,,,,,
9.514,0.998671,0.988728,0.984552,0.984034,1.014363,1.000782,,,,,
10.014,0.999211,0.988277,0.983505,0.986145,1.015018,1.000243,,,,,
10.514,0.999211,0.988401,0.98472,0.987913,1.013187,1.001018,,,,,
11.014,0.997715,0.989266,0.988708,0.988462,1.015004,1.003323,,,,,
11.514,1.000972,0.988401,0.993419,0.989489,1.015413,1.004761,,,,,
12.014,1.000219,0.990419,0.992735,0.990418,1.016793,1.006394,,,,,
12.514,1.000577,0.993821,0.995681,0.993324,1.014439,1.007059,,,,,
13.014,1.000577,0.995273,0.997951,0.994295,1.014765,1.006998,,,,,
13.514,1.00104,0.994691,0.998882,0.994835,1.012595,1.00787,,,,,
14.014,1.002147,0.995393,0.998648,0.994481,1.014633,1.007749,,,,,
14.514,1.002557,0.995925,0.999182,0.995603,1.011818,1.008103,,,,,
15.014,1.002984,0.995855,1.000492,0.995817,1.010244,1.00787,,,,,
15.514,1.002686,0.995845,1.001607,0.996763,1.007924,1.008364,,,,,
16.014,1.003304,0.996278,1.005054,0.996809,1.006715,1.007916,,,,,
16.514,1.003151,0.997173,1.008459,0.997692,1.006287,1.00692,,,,,
17.014,1.003304,0.996665,1.010122,0.999097,1.003492,1.006181,,,,,
17.514,1.002842,0.998014,1.011361,1.00116,1.001212,1.00692,,,,,
18.014,1.003311,0.998766,1.012935,1.002485,1.000732,1.006998,,,,,
18.514,1.003882,0.998766,1.01301,1.003234,0.997468,1.005701,,,,,
19.014,1.003771,0.99952,1.014395,1.003543,0.996462,1.007067,,,,,
19.514,1.004237,0.99952,1.01505,1.003325,0.995786,1.00711,,,,,
20.014,1.004018,0.999291,1.017177,1.004251,0.994944,1.007749,,,,,
