Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
0.514,1.158941473,0.989039,0.908521544,0.723807115,0.88805
1.014,1.072601831,1.032981,0.914000808,0.733017735,0.923804
1.514,1.093882444,1.015967,0.938711283,0.993798372,0.904838
2.014,0.985447183,0.953305,0.926847781,0.909237028,0.907388
2.514,0.994716148,0.956738,0.941900855,0.907891303,0.936573
3.014,0.963588901,0.93877,0.92582953,0.913992063,0.923844
3.514,0.961834214,0.93963,0.942645402,0.911614545,0.923844
4.014,0.942167581,0.954058,0.951987583,0.884827315,0.924444
4.514,0.942167581,0.949012,0.962998597,0.861971748,0.92295
5.014,0.96875607,0.945453,0.973332587,0.907891303,0.926605
5.514,0.968985145,0.946797,0.981823001,0.921328026,0.911932
6.014,0.980649479,0.953979,0.995900377,0.914123613,0.92044
6.514,0.980392724,0.954058,1.005278625,0.921328026,0.939016
7.014,0.978206638,0.952007,1.012037215,0.926333316,0.93948
7.514,0.980906234,0.961965,1.010687124,0.944614031,0.948086
8.014,0.986457836,0.963125,1.015036057,0.934128288,0.974815
8.514,0.985733567,0.965789,1.009707801,0.924997244,0.988557
9.014,0.979665877,0.969362,1.018421224,0.926318506,0.988767
9.514,0.985181118,0.974268,1.02027156,0.947748934,0.997718
10.014,0.980392724,0.975072,1.022388335,0.960278115,1.007418
10.514,0.978572834,0.981693,1.019957074,0.973531708,1.000153
11.014,0.988866632,0.98182,1.022287646,0.993661405,0.988767
11.514,0.988866632,0.992941,1.020771396,0.994324726,0.999308
12.014,0.987182106,0.996921,1.022847521,1.020455698,0.99613
12.514,0.995517399,0.993384,1.018755584,1.025210173,0.997543
13.014,1.000584,0.998672,1.015935687,1.042400522,0.999308
13.514,0.995517399,0.998075,1.015186743,1.042612667,1.008232
14.014,0.990703365,1.009758,1.012037215,1.044164279,1.013509
14.514,0.991678116,1.010236,1.015186743,1.052703019,1.011026
15.014,0.988355391,1.012591,1.018472434,1.053623948,1.011026
15.514,0.989614616,1.013526,1.016910622,1.038733231,1.011002
16.014,0.987182106,1.01297,1.016481684,1.042877715,1.016431
16.514,0.990806397,1.013251,1.015182522,1.030548632,1.021392
17.014,0.992962575,1.013526,1.012522937,1.044543451,1.028778
17.514,1.002220192,1.01666,1.014109162,1.039999274,1.02798
18.014,1.00279565,1.020918,1.011275448,1.043331411,1.027013
18.514,1.0023081,1.026328,1.011253301,1.042745191,1.032388
19.014,1.000584,1.022359,1.011935875,1.043058428,1.031543
19.514,1.002396008,1.022953,1.011746837,1.049164507,1.029337
20.014,1.006681056,1.018472,1.010100651,1.062216791,1.032574
20.514,1.009994113,1.022953,1.010620176,1.049164507,1.036568
21.014,1.009426971,1.026206,1.009314951,1.045580234,1.034183
21.514,1.002984397,1.026753,1.013039346,1.053179334,1.034183
22.014,1.0023081,1.024601,1.010230264,1.062653155,1.035678
22.514,1.004270479,1.02718,1.012075207,1.060102236,1.040893
23.014,1.002984397,1.029172,1.009693105,1.065622363,1.040892
23.514,1.007033714,1.02827,1.008135253,1.060681115,1.042149
24.014,1.012181208,1.02827,1.00730367,1.049164507,1.046698
24.514,1.008900509,1.027673,1.010071259,1.063908719,1.041091
25.014,1.010448153,1.030066,1.009156218,1.066077499,1.045886
25.514,1.008143441,1.031581,1.006668815,1.066077499,1.045223
26.014,1.014982192,1.030432,1.008692706,1.062216791,1.05814
26.514,1.016661961,1.03115,1.011738013,1.066077499,1.062064
27.014,1.018604977,1.031101,1.012075207,1.077477739,1.058726
27.514,1.018455477,1.030662,1.01531098,1.080985686,1.059186
28.014,1.018754476,1.031152,1.015382338,1.081633341,1.061416
28.514,1.018754476,1.031715,1.015334795,1.085079323,1.059186
29.014,1.019269119,1.031223,1.013108024,1.077508489,1.05769
29.514,1.021772498,1.031413,1.010765306,1.077656562,1.05814
31.011,0.7403508,0.885105,1.516276369,0.194092449,1.058625
31.511,0.793897823,1.013064,1.591930341,0.24966469,1.051719
32.011,1.06612583,1.016436,1.611070934,0.498300942,0.825866
32.511,1.006832355,1.008973,1.625006973,0.513512781,0.861911
33.011,0.987029983,1.046263,1.667425396,0.538659256,0.943616
33.511,0.977443465,1.054602,1.729279414,0.562461607,0.961803
34.011,0.978147443,1.03708,1.736417077,0.553708356,0.948663
34.511,1.028003704,1.019561,1.749973757,0.656784436,0.995103
35.011,1.022155277,1.040589,1.773815335,0.611045937,0.975821
35.511,1.006633454,1.044457,1.76814061,0.620999004,1.010418
36.011,1.000126644,1.03708,1.798816352,0.6462212,1.013062
36.511,1.005945784,1.034467,1.833881094,0.686928955,0.992419
37.011,1.006633454,1.034431,1.884481348,0.676594682,0.997514
37.511,0.999530918,1.0461,1.983282231,0.709629863,0.999426
38.011,1.007804081,1.040617,2.040257136,0.686928955,0.996691
38.511,1.017372588,1.034467,2.088913474,0.696214321,1.004599
39.011,1.008775807,1.034467,2.111758393,0.751346324,1.009586
39.511,1.014370158,1.044923,2.121509092,0.751346324,1.005167
40.011,1.025870255,1.046608,2.121788129,0.756639786,0.997514
40.511,1.016702064,1.040617,2.141083316,0.786718463,0.992085
41.011,1.016702064,1.040589,2.15637826,0.797783796,0.991752
41.511,1.014370158,1.03708,2.172955091,0.818202091,0.991046
42.011,1.018278211,1.04252,2.19842118,0.809648436,0.987218
42.511,1.023920114,1.047306,2.207475117,0.828104544,0.992085
43.011,1.039639877,1.04838,2.209096397,0.828104544,0.987203
43.511,1.037121909,1.043747,2.241715341,0.842725845,0.991046
44.011,1.029902131,1.037194,2.251337402,0.854905031,0.989119
44.511,1.04057942,1.04252,2.26311768,0.858333844,0.979415
45.011,1.045774047,1.0461,2.266727129,0.891590056,0.987203
45.511,1.042609768,1.046608,2.271862705,0.898954246,0.980905
46.011,1.041446197,1.047056,2.289344715,0.917257592,0.987189
46.511,1.043265686,1.047306,2.300224322,0.915323831,0.985004
47.011,1.052176949,1.051181,2.317088868,0.931922308,0.993474
47.511,1.051213804,1.055489,2.31972305,0.928915844,0.991021
48.011,1.053125735,1.059257,2.325051152,0.950643112,0.993515
48.511,1.057358928,1.063459,2.335133799,0.964419448,0.991071
49.011,1.059547853,1.076434,2.345331851,0.95016818,0.992419
49.511,1.063329576,1.082743,2.374881637,0.941485893,0.999702
50.011,1.058467984,1.090228,2.393187997,0.950211222,0.999776
50.511,1.065551958,1.108281,2.406895402,0.968971372,0.999702
51.011,1.060961118,1.115259,2.415433185,0.9744449,0.991586
51.511,1.060254485,1.124249,2.42531863,0.969153479,0.991586
52.011,1.063419033,1.132849,2.432936989,0.968590745,0.991785
52.511,1.069778021,1.14042,2.446988603,0.972530208,0.998473
53.011,1.068432232,1.15408,2.454855734,0.975956452,1.001339
53.511,1.07124812,1.169226,2.46441358,0.985094816,1.005547
54.011,1.072151842,1.182827,2.472883187,0.993131092,1.010181
54.511,1.073140147,1.199241,2.48577277,1.003342378,1.012573
55.011,1.07726433,1.207694,2.494992719,1.004905905,1.004118
55.511,1.082746504,1.2175,2.520042103,0.992964605,1.013208
56.011,1.083772741,1.229166,2.535301363,1.000502438,1.016155
56.511,1.08562884,1.239718,2.544843592,1.000099609,1.016199
57.011,1.087828261,1.254875,2.552140872,0.997431321,1.013107
57.511,1.087457268,1.271657,2.564275218,0.998774488,1.01295
58.011,1.091318923,1.280096,2.567744433,0.999643702,1.010985
58.511,1.092168829,1.298285,2.578697733,0.993355118,1.011657
59.011,1.091494928,1.309305,2.59414651,0.985214155,1.013456
59.511,1.094523095,1.321016,2.602573534,0.998221346,1.016877
60.011,1.092260244,1.325624,2.614253107,0.997668203,1.021427
60.511,1.09582973,1.33659,2.646558471,1.000301023,1.019508
61.011,1.093954406,1.346372,2.661771777,1.003472196,1.019653
61.511,1.094523095,1.359007,2.666780537,1.006630363,1.018485
62.011,1.094523095,1.37334,2.67817138,1.007482621,1.020919
62.511,1.094523095,1.400704,2.686741479,1.012594566,1.020903
63.011,1.097360261,1.41666,2.693593113,1.012594566,1.020919
63.511,1.096605713,1.433274,2.703532106,1.033255612,1.020765
64.011,1.096901763,1.439064,2.710943297,1.033255612,1.021427
64.511,1.098130792,1.452878,2.732966106,1.038531106,1.023825
65.011,1.098130792,1.47085,2.742912867,1.042656543,1.028372
65.511,1.096309663,1.485559,2.757787325,1.045623574,1.02956
66.011,1.096605713,1.500571,2.76959429,1.054608656,1.030506
66.511,1.10039088,1.518707,2.782561109,1.065409497,1.033767
67.011,1.103189355,1.52496,2.798508853,1.074155072,1.036059
67.511,1.103006232,1.540656,2.80336065,1.082509983,1.041256
68.011,1.102783908,1.550851,2.82131014,1.099715899,1.047135
68.511,1.10355388,1.564457,2.843341191,1.110557105,1.053564
69.011,1.104512227,1.578304,2.854310279,1.126787503,1.060132
69.511,1.106873054,1.592218,2.867026162,1.137641182,1.065565
70.011,1.112775342,1.602686,2.872080882,1.154910959,1.071168
70.511,1.113933599,1.607719,2.873976983,1.169349352,1.079687
71.011,1.116014765,1.618017,2.88697734,1.182172482,1.091411
71.511,1.121431364,1.631213,2.898034059,1.197542741,1.10293
