Seconds,Experiment 1,Experiment 2,Experiment 3,Experiment 4,Experiment 5
0.514,0.98779,0.911434281,1.002435,0.91687,1.017632
1.014,1.004032,0.912642637,0.949503,0.96902,0.944568
1.514,1.005505,0.922529866,0.920738,0.978307,0.976113
2.014,0.981422,0.947283322,0.910221,0.978921,0.995214
2.514,0.972453,0.949007364,0.91067,0.969534,0.969719
3.014,0.988923,0.949657454,0.917547,0.969091,0.952721
3.514,0.989443,0.949007364,0.942188,0.965503,0.954345
4.014,0.995337,0.966287218,0.968657,0.962076,0.954056
4.514,0.998576,0.959194755,0.983768,0.952457,0.937742
5.014,0.995337,0.961907354,0.992316,0.956663,0.944478
5.514,0.989962,0.967298384,0.998024,0.957491,0.962872
6.014,0.994885,0.963940223,0.994135,0.963673,0.958433
6.514,0.9787,0.967222339,0.997097,0.96687,0.964274
7.014,0.976311,0.967502139,0.995401,0.973247,0.961441
7.514,0.978171,0.971523232,0.995401,0.970106,0.963125
8.014,0.975408,0.970858502,0.995823,0.971696,0.967137
8.514,0.983133,0.976424704,1.002933,0.971278,0.975054
9.014,0.984909,0.981200044,1.003486,0.971696,0.973539
9.514,0.994885,0.986135713,1.003151,0.976398,0.971036
10.014,0.995822,0.998568679,1.005507,0.977576,0.979831
10.514,0.999468,0.996629333,1.003486,0.981282,0.986115
11.014,1.006441,0.999985124,1.002714,0.986434,0.995214
11.514,1.006484,1.009977427,1.004871,0.994185,0.995834
12.014,1.008987,1.012518262,1.007589,0.993476,0.996709
12.514,1.010705,1.014945745,1.008559,0.994331,0.996808
13.014,1.010154,1.017495968,1.010956,0.994609,0.995834
13.514,1.010727,1.021099521,1.011706,0.998844,1.001333
14.014,1.010727,1.021099521,1.012384,0.996629,1.008924
14.514,1.007809,1.023450472,1.012593,1.003093,1.0121
15.014,1.008987,1.026643919,1.013942,1.006154,1.012364
15.514,1.011725,1.024477581,1.011296,1.010875,1.012471
16.014,1.009913,1.025795023,1.012711,1.011806,1.013238
16.514,1.009428,1.025369612,1.011802,1.014628,1.018666
17.014,1.010344,1.023450472,1.009494,1.020846,1.024197
17.514,1.008273,1.02342316,1.010354,1.02301,1.017086
18.014,1.0078,1.022361793,1.011508,1.024077,1.013322
18.514,1.008452,1.02305134,1.010799,1.028263,1.019851
19.014,1.007081,1.022336796,1.012687,1.028548,1.021968
19.514,1.006962,1.022312446,1.012516,1.0268,1.024361
20.014,1.00703,1.023477784,1.012436,1.029891,1.022997
20.514,1.006979,1.022361793,1.010527,1.028263,1.022025
21.014,1.004135,1.02267952,1.011706,1.029453,1.022106
21.514,1.007334,1.023862358,1.011826,1.029397,1.02213
22.014,1.006962,1.022349295,1.012662,1.029316,1.024438
22.514,1.006526,1.02267952,1.014112,1.028834,1.024197
23.014,1.004084,1.022176282,1.014525,1.028263,1.02469
23.514,1.004032,1.022361793,1.015984,1.027213,1.024351
24.014,1.004032,1.022382549,1.01748,1.02707,1.024438
24.514,1.004741,1.022382549,1.01879,1.025868,1.025495
25.014,1.003567,1.022336796,1.018356,1.023305,1.026524
25.514,1.004032,1.02342316,1.019862,1.023399,1.025613
26.014,1.002521,1.023477784,1.018848,1.024101,1.024274
26.514,1.003291,1.023477784,1.017894,1.024002,1.025495
27.014,1.002521,1.023862358,1.016601,1.024041,1.02641
27.514,1.002327,1.02303243,1.01778,1.027423,1.027339
28.014,1.001419,1.023475004,1.016074,1.028263,1.026255
28.514,0.998956,1.024477581,1.017794,1.027356,1.030766
29.014,0.997034,1.024856656,1.01778,1.029347,1.030176
29.514,0.997007,1.024817914,1.017993,1.028834,1.030555
31.011,1.018412,1.137607637,1.907439,1.055477,0.903395
31.511,1.033051,1.122834777,1.854557,1.040821,0.91821
32.011,1.036118,1.0794621,1.854557,1.057336,0.922073
32.511,1.018292,1.083063526,1.883254,1.053435,0.958477
33.011,1.050494,1.104551276,1.865593,1.006578,0.958477
33.511,1.044383,1.116359302,1.854914,1.011493,0.958477
34.011,1.046168,1.086946963,1.870038,1.015892,0.958965
34.511,1.054825,1.078382844,1.841151,1.032099,0.982881
35.011,1.055782,1.077936249,1.827389,1.035281,0.984133
35.511,1.056733,1.063898373,1.825694,1.042933,0.996624
36.011,1.035629,1.05306338,1.823888,1.038851,0.997102
36.511,1.03347,1.055039992,1.829598,1.036996,0.996851
37.011,1.034523,1.054251025,1.874221,1.027775,0.99652
37.511,1.033261,1.05016632,1.893613,1.027012,0.997525
38.011,1.033757,1.043962558,1.923881,1.021769,1.004115
38.511,1.034523,1.05004736,1.929962,1.019668,1.00726
39.011,1.030321,1.051367683,1.932699,1.014057,1.006099
39.511,1.030616,1.051367683,1.941242,1.013419,0.997679
40.011,1.033613,1.05030335,1.954902,1.01253,1.007496
40.511,1.03347,1.048052073,1.957689,1.010703,1.00782
41.011,1.04065,1.048192801,1.962208,1.014277,1.023266
41.511,1.038612,1.052294987,1.963337,1.010074,1.025471
42.011,1.037815,1.051367683,1.970101,1.013001,1.0242
42.511,1.044773,1.051432728,1.972107,1.015892,1.025246
43.011,1.043216,1.049413585,1.979943,1.018828,1.020805
43.511,1.044383,1.052580633,1.990473,1.021935,1.015466
44.011,1.039157,1.050570469,2.010304,1.021862,1.014129
44.511,1.042106,1.05071883,2.016369,1.021935,1.023278
45.011,1.039012,1.053329807,2.016369,1.02913,1.025246
45.511,1.037272,1.054181283,2.017739,1.029489,1.031431
46.011,1.036704,1.052580633,2.024484,1.034062,1.033059
46.511,1.038282,1.052294987,2.036381,1.038851,1.034713
47.011,1.037272,1.052294987,2.041009,1.041377,1.040474
47.511,1.034894,1.052580633,2.051233,1.046666,1.042507
48.011,1.038129,1.052477026,2.063746,1.048461,1.044641
48.511,1.036127,1.057439647,2.07115,1.04951,1.044641
49.011,1.034894,1.057430073,2.079031,1.052656,1.041122
49.511,1.032338,1.059311946,2.08859,1.051575,1.040773
50.011,1.031769,1.066174828,2.096357,1.051848,1.042118
50.511,1.030945,1.069680862,2.103217,1.051173,1.047982
51.011,1.029461,1.074541941,2.103247,1.05155,1.049345
51.511,1.02966,1.08118912,2.114574,1.051028,1.043292
52.011,1.028462,1.089588023,2.116853,1.050885,1.047258
52.511,1.02908,1.095306423,2.128413,1.048754,1.048777
53.011,1.027184,1.101495658,2.13701,1.051848,1.047131
53.511,1.029019,1.105808926,2.147825,1.05401,1.048123
54.011,1.029994,1.113699521,2.151752,1.0538,1.051648
54.511,1.029977,1.123108615,2.156946,1.053954,1.051039
55.011,1.030389,1.129667875,2.171729,1.057532,1.049416
55.511,1.03293,1.133200496,2.175997,1.059896,1.051193
56.011,1.033159,1.141754114,2.182003,1.06156,1.053347
56.511,1.033613,1.146355881,2.184463,1.064568,1.051555
57.011,1.037536,1.149230091,2.187774,1.067637,1.05203
57.511,1.036704,1.152841032,2.193687,1.067637,1.056276
58.011,1.038866,1.157414539,2.20149,1.068115,1.056518
58.511,1.041486,1.163255887,2.214858,1.06923,1.059626
59.011,1.042665,1.168399502,2.220533,1.070086,1.060887
59.511,1.047316,1.171085744,2.228382,1.069764,1.061864
60.011,1.046708,1.174814222,2.234268,1.068934,1.063802
60.511,1.045779,1.180074035,2.235303,1.068115,1.065975
61.011,1.044326,1.184556126,2.243286,1.068168,1.066168
61.511,1.044028,1.190786528,2.250414,1.06915,1.068076
62.011,1.042106,1.193078542,2.259361,1.068718,1.069903
62.511,1.044354,1.199333574,2.264629,1.06915,1.070193
63.011,1.047638,1.206704229,2.271476,1.068693,1.070034
63.511,1.048075,1.211345216,2.284331,1.06919,1.070363
64.011,1.047638,1.216576614,2.28971,1.068584,1.070526
64.511,1.047326,1.219933268,2.299803,1.069674,1.070928
65.011,1.048404,1.22454896,2.304871,1.068934,1.070526
65.511,1.047638,1.231141874,2.310895,1.069922,1.072713
66.011,1.045779,1.236916101,2.318429,1.070252,1.072424
66.511,1.047316,1.242903373,2.320769,1.073227,1.073836
67.011,1.046462,1.245639189,2.322875,1.073536,1.073436
67.511,1.0483,1.249548782,2.325848,1.07502,1.074254
68.011,1.049343,1.253951259,2.339108,1.077881,1.077072
68.511,1.050978,1.258126347,2.345688,1.078548,1.077699
69.011,1.05212,1.26167011,2.358679,1.081581,1.079923
69.511,1.054781,1.268402205,2.359995,1.081852,1.081075
70.011,1.057138,1.270574544,2.370413,1.082406,1.081148
70.511,1.058371,1.278272334,2.375588,1.082902,1.083041
71.011,1.058704,1.283472895,2.382003,1.084176,1.083682
71.511,1.059503,1.289231862,2.390912,1.088035,1.086631
72.011,1.059451,1.291554964,2.396707,1.089809,1.088845
72.511,1.061702,1.293338194,2.404463,1.090779,1.091622
73.011,1.063038,1.296577765,2.405283,1.095084,1.093979
73.511,1.067797,1.305786716,2.412665,1.097611,1.098212
74.011,1.068509,1.31231758,2.416638,1.101006,1.103604
74.511,1.069112,1.320535833,2.423817,1.104496,1.108696
75.011,1.071002,1.325125679,2.429019,1.109261,1.115021
75.511,1.073776,1.330334031,2.435608,1.113,1.120772
76.011,1.076429,1.335551765,2.440257,1.117168,1.124366
76.511,1.078305,1.341572514,2.445009,1.120171,1.128041
77.011,1.085322,1.348783882,2.454496,1.123455,1.133955
77.511,1.088704,1.353579913,2.459644,1.128643,1.138171
78.011,1.090782,1.360285428,2.461626,1.134976,1.144801
78.511,1.092061,1.365315772,2.465956,1.138398,1.15045
79.011,1.095025,1.370533849,2.469892,1.142435,1.156077
79.511,1.098717,1.373024955,2.472161,1.147271,1.163742
80.011,1.101486,1.378773085,2.477766,1.151483,1.17186
80.511,1.104509,1.382817869,2.481731,1.156468,1.176031
81.011,1.106189,1.388144208,2.486099,1.160305,1.179573
81.511,1.110691,1.390406903,2.489635,1.165835,1.185245
82.011,1.113552,1.394329413,2.492651,1.171057,1.191582
82.511,1.116845,1.396838751,2.493102,1.175013,1.198523
83.011,1.119115,1.401596922,2.497946,1.178928,1.205547
83.511,1.121989,1.407204531,2.505054,1.184072,1.214854
84.011,1.125392,1.412275725,2.512618,1.187188,1.221264
84.511,1.128662,1.41736782,2.51902,1.19156,1.228995
85.011,1.131171,1.421798879,2.522995,1.195928,1.238931
85.511,1.132234,1.427581905,2.530062,1.199161,1.246697
86.011,1.134514,1.431655199,2.536565,1.203201,1.252966
86.511,1.137509,1.438754214,2.543758,1.207873,1.261883
87.011,1.140024,1.447051521,2.548656,1.210216,1.267395
87.511,1.142613,1.451314853,2.552934,1.213757,1.274891
88.011,1.146957,1.456998289,2.553824,1.217136,1.279426
88.511,1.149911,1.463253821,2.558507,1.221351,1.290807
89.011,1.153147,1.466128089,2.562938,1.22664,1.297964
89.511,1.157156,1.473564058,2.564998,1.22911,1.305629
90.011,1.160271,1.481372063,2.567345,1.232583,1.311486
90.511,1.163167,1.486085886,2.5717,1.23781,1.319578
91.011,1.167637,1.490544377,2.579168,1.241578,1.325435
91.511,1.173584,1.499947821,2.583816,1.244997,1.33239
92.011,1.175899,1.503748819,2.588396,1.250614,1.3422
92.511,1.179769,1.509646055,2.593258,1.25386,1.350035
93.011,1.18265,1.516280832,2.595422,1.257522,1.358277
93.511,1.187138,1.523804921,2.60031,1.260775,1.366854
94.011,1.189049,1.530626619,2.602577,1.26518,1.376166
94.511,1.192569,1.537915022,2.605294,1.26864,1.386503
95.011,1.196735,1.54360255,2.610797,1.273994,1.402723
95.511,1.200648,1.550568348,2.611759,1.278364,1.413706
96.011,1.204082,1.556793029,2.616998,1.283313,1.42002
96.511,1.208184,1.562387888,2.622227,1.288083,1.428037
97.011,1.210304,1.567812039,2.6237,1.294927,1.437546
97.511,1.214975,1.572040186,2.625839,1.299068,1.446703
98.011,1.21731,1.575691146,2.627113,1.302539,1.455098
98.511,1.221918,1.578683156,2.632038,1.30538,1.466174
99.011,1.225747,1.587298408,2.634855,1.308036,1.476099
99.511,1.228218,1.590170688,2.63705,1.311202,1.487828
100.011,1.23141,1.596258508,2.641771,1.313944,1.494718
100.511,1.235362,1.602186035,2.642082,1.317804,1.503553
101.011,1.237751,1.604302328,2.643944,1.322784,1.515114
101.511,1.241096,1.610323696,2.645064,1.324951,1.524353
102.011,1.247652,1.617165129,2.648613,1.327729,1.529285
102.511,1.250936,1.621245475,2.651406,1.332247,1.537889
103.011,1.253762,1.62579289,2.651406,1.337575,1.550069
103.511,1.256896,1.629738484,2.653188,1.341544,1.557928
104.011,1.259481,1.634605914,2.65394,1.345196,1.570845
104.511,1.264292,1.63938174,2.655677,1.348033,1.585289
105.011,1.268557,1.643400029,2.655265,1.352997,1.600625
105.511,1.272193,1.649506424,2.656852,1.355213,1.612993
106.011,1.274483,1.655315271,2.656962,1.3578,1.626873
106.511,1.27752,1.661179901,2.661634,1.361415,1.636461
107.011,1.280911,1.664520274,2.662627,1.365655,1.644561
107.511,1.284471,1.673855103,2.66348,1.369119,1.655299
108.011,1.288917,1.679582649,2.66287,1.372736,1.669675
108.511,1.292958,1.685172182,2.664414,1.375295,1.683298
109.011,1.300011,1.687225734,2.664505,1.378536,1.697398
109.511,1.303156,1.695660861,2.664821,1.382747,1.710245
110.011,1.306066,1.703023901,2.665264,1.385698,1.724768
110.511,1.309466,1.705981004,2.665798,1.389901,1.735638
111.011,1.312734,1.709714889,2.666356,1.392462,1.748226
111.511,1.319527,1.713156519,2.666342,1.395124,1.759399
112.011,1.32143,1.721470361,2.666967,1.398321,1.777448
112.511,1.327263,1.726366273,2.668493,1.401953,1.790581
113.011,1.331399,1.730967372,2.667522,1.405147,1.805327
113.511,1.33518,1.735208005,2.666749,1.407407,1.812381
114.011,1.339133,1.738238466,2.667814,1.410061,1.824432
114.511,1.344888,1.744571035,2.666892,1.412365,1.834665
115.011,1.349288,1.748594705,2.66793,1.415124,1.846492
115.511,1.356925,1.754958415,2.666782,1.418123,1.861664
116.011,1.363553,1.759657142,2.669147,1.420722,1.875194
116.511,1.369729,1.765629255,2.669432,1.423257,1.89122
117.011,1.372503,1.769860655,2.670195,1.426485,1.905662
117.511,1.375626,1.774574737,2.669774,1.430217,1.914219
118.011,1.379443,1.778176755,2.669356,1.432704,1.926891
118.511,1.383303,1.782246028,2.67009,1.436464,1.934838
119.011,1.388049,1.788658872,2.670974,1.439867,1.952373
119.511,1.393638,1.797907962,2.669244,1.444768,1.964809
120.011,1.399346,1.802402059,2.669205,1.448255,1.979266
120.511,1.407138,1.80690528,2.669386,1.453244,1.994932
121.011,1.412776,1.811025967,2.669147,1.456143,2.01179
121.511,1.416074,1.815183062,2.666903,1.46049,2.025289
122.011,1.421341,1.821442205,2.666342,1.46446,2.041561
122.511,1.427909,1.825937793,2.666967,1.468094,2.053544
123.011,1.432554,1.831150497,2.666782,1.472252,2.072062
123.511,1.438933,1.836713934,2.666782,1.476321,2.081448
124.011,1.446316,1.838983733,2.666766,1.478744,2.093482
124.511,1.452211,1.844922337,2.666639,1.484076,2.115991
125.011,1.454932,1.849824008,2.665676,1.487026,2.136157
125.511,1.461523,1.855770926,2.664963,1.491281,2.153416
126.011,1.468395,1.861263332,2.664198,1.494389,2.163762
126.511,1.473256,1.867997492,2.663787,1.499021,2.179714
127.011,1.476902,1.869518147,2.663386,1.502747,2.190493
127.511,1.484598,1.87427175,2.662862,1.506465,2.20393
128.011,1.488977,1.878537753,2.661634,1.508101,2.214154
128.511,1.495652,1.88191554,2.661138,1.510992,2.226742
129.011,1.501655,1.890954001,2.659382,1.514345,2.237869
129.511,1.506635,1.894409153,2.658363,1.519543,2.256935
130.011,1.512635,1.895973961,2.656429,1.522269,2.27293
130.511,1.51745,1.902374725,2.655513,1.524985,2.284416
131.011,1.525331,1.904935624,2.654402,1.528537,2.294166
131.511,1.532972,1.909914452,2.654672,1.532886,2.302324
132.011,1.536967,1.913728313,2.652552,1.536282,2.313903
132.511,1.538398,1.91756895,2.651984,1.538975,2.319286
133.011,1.543839,1.920892132,2.651469,1.542443,2.327885
133.511,1.553058,1.923503173,2.650751,1.54446,2.334396
134.011,1.558452,1.925629731,2.651439,1.54925,2.341307
134.511,1.563766,1.929312274,2.649134,1.551866,2.350753
135.011,1.569166,1.930813687,2.648068,1.553597,2.358275
135.511,1.575941,1.933797358,2.647551,1.556074,2.364576
136.011,1.578801,1.938091395,2.643944,1.558426,2.381095
136.511,1.584234,1.943053891,2.644235,1.560364,2.389736
137.011,1.593874,1.950279528,2.642432,1.564358,2.396732
137.511,1.60116,1.954671909,2.641617,1.567491,2.4019
138.011,1.606385,1.955176693,2.63757,1.571478,2.408037
138.511,1.613102,1.958971347,2.635373,1.572592,2.413324
139.011,1.618758,1.963413508,2.633103,1.574869,2.417246
139.511,1.624369,1.965835555,2.632188,1.576743,2.42055
140.011,1.626837,1.967041303,2.6318,1.578375,2.42243
140.511,1.629049,1.973454017,2.629111,1.580748,2.422803
141.011,1.638098,1.977359101,2.62918,1.583411,2.42558
141.511,1.641717,1.979357784,2.627901,1.585212,2.42914
142.011,1.64571,1.981745031,2.626381,1.587813,2.430169
142.511,1.652386,1.983376506,2.624372,1.589387,2.429173
143.011,1.659751,1.984126313,2.622844,1.590985,2.433889
143.511,1.665655,1.990732664,2.622162,1.595124,2.437865
144.011,1.668497,1.993722474,2.622039,1.597628,2.437865
144.511,1.670615,1.99417579,2.621025,1.59943,2.440611
145.011,1.67545,1.996326934,2.620704,1.60166,2.442364
145.511,1.678272,1.997667178,2.618302,1.603049,2.445018
146.011,1.682194,1.999388325,2.616338,1.604488,2.44998
146.511,1.689008,2.001263938,2.61627,1.605324,2.453086
147.011,1.693623,2.002001439,2.614454,1.606422,2.450431
147.511,1.696201,2.004258678,2.613856,1.606936,2.452254
148.011,1.703106,2.007473608,2.609166,1.607879,2.450539
148.511,1.708635,2.008039188,2.606663,1.60995,2.451604
149.011,1.714986,2.010064803,2.60626,1.6107,2.453086
149.511,1.721697,2.011147921,2.605574,1.613039,2.452481
150.011,1.727964,2.013137101,2.604359,1.615741,2.454903
150.511,1.732691,2.01506234,2.603634,1.617231,2.456287
151.011,1.737533,2.015668779,2.601877,1.61916,2.455663
151.511,1.74209,2.01941267,2.600282,1.621311,2.455898
152.011,1.745649,2.019801352,2.599612,1.622353,2.457401
152.511,1.750493,2.021893036,2.598858,1.623575,2.45609
153.011,1.756126,2.022893792,2.598813,1.625218,2.457382
153.511,1.758099,2.026283892,2.597069,1.625715,2.45806
154.011,1.761937,2.02441433,2.595427,1.627006,2.453849
154.511,1.765573,2.02478353,2.595353,1.628082,2.450539
155.011,1.768725,2.026696832,2.595228,1.628137,2.449699
155.511,1.772646,2.027551463,2.59443,1.628611,2.448804
156.011,1.775209,2.028504724,2.592556,1.629488,2.444036
156.511,1.776993,2.029295548,2.59202,1.628374,2.44169
157.011,1.779381,2.030171225,2.591325,1.628374,2.440265
157.511,1.781713,2.032371155,2.589535,1.63006,2.443244
158.011,1.783101,2.033110552,2.587948,1.630687,2.443254
158.511,1.787228,2.032711591,2.587185,1.630912,2.442364
159.011,1.789141,2.032711591,2.586876,1.63006,2.439525
159.511,1.791315,2.034215207,2.585654,1.630323,2.439525
160.011,1.791559,2.034332972,2.584002,1.630069,2.438813
160.511,1.793245,2.036713956,2.583295,1.631089,2.436497
161.011,1.796223,2.037018495,2.582994,1.632298,2.434196
161.511,1.798839,2.037279027,2.582092,1.631127,2.43416
162.011,1.802083,2.037503189,2.580949,1.631089,2.430468
162.511,1.80399,2.038408655,2.579658,1.630735,2.430169
163.011,1.80828,2.037361492,2.579288,1.630277,2.429221
163.511,1.80659,2.037644886,2.577679,1.629335,2.426422
164.011,1.810048,2.037744348,2.576449,1.626932,2.421424
164.511,1.811164,2.03801569,2.574099,1.626688,2.4202
165.011,1.81335,2.038941608,2.572378,1.626688,2.416612
165.511,1.81893,2.038217308,2.571259,1.626477,2.414999
166.011,1.819314,2.039120457,2.569926,1.627292,2.413621
166.511,1.822635,2.038020825,2.568696,1.627006,2.41099
167.011,1.823959,2.037925092,2.568135,1.626416,2.405295
167.511,1.825628,2.037977894,2.566832,1.625685,2.399934
168.011,1.825119,2.037361492,2.565138,1.625506,2.397344
168.511,1.827261,2.03732177,2.563655,1.624925,2.395096
169.011,1.829772,2.03785805,2.562767,1.62437,2.39221
169.511,1.830704,2.037977894,2.562938,1.62437,2.390575
170.011,1.83211,2.03802596,2.562571,1.623525,2.390378
170.511,1.831544,2.03801569,2.561628,1.62248,2.386574
171.011,1.831585,2.037925092,2.560225,1.62219,2.384865
171.511,1.834154,2.037503189,2.55775,1.621837,2.380761
172.011,1.834154,2.037361492,2.557112,1.621118,2.375161
172.511,1.836012,2.038217308,2.555145,1.621365,2.373509
173.011,1.837923,2.03732177,2.554148,1.620004,2.36828
