Condition,VH + ζ + SKOV + Her 1,VH + ζ + SKOV + Her 2,VH + ζ + SKOV + Her 3,VL + ζ + SKOV + Her 1,VL + ζ + SKOV + Her 2,VL + ζ + SKOV + Her 3,VH + ζ + SKOV 1,VH + ζ + SKOV 2,VH + ζ + SKOV 3,VL + ζ + SKOV 1,VL + ζ + SKOV 2,VL + ζ + SKOV 3
Seconds,,,,,,,,,,,,
0.615,0.9595,0.9514,0.97165,1.040325,0.966449,0.959739,1.011206,1.013447,1.022412,1.023057,1.027668,1.057642
1.115,0.954104,0.944925,0.967873,1.048056,0.966449,0.959739,1.003849,1.004619,1.007698,1.024419,1.029303,1.061048
1.615,0.952176,0.942612,0.966523,1.046503,0.966449,0.959739,1.009299,1.011159,1.018599,1.026159,1.031391,1.065398
2.115,0.940961,0.929153,0.958672,1.045181,0.972998,0.967597,1.001772,1.002126,1.003543,1.031221,1.037466,1.078053
2.615,0.931508,0.917809,0.952055,1.044893,0.966271,0.959525,0.99433,0.993196,0.988659,1.020705,1.024846,1.051762
3.115,0.937674,0.925209,0.956372,1.029849,0.962773,0.955328,0.99276,0.991312,0.98552,1.015417,1.0185,1.038542
3.615,0.943883,0.93266,0.960718,1.02321,0.96313,0.955757,0.989705,0.987646,0.97941,1.011156,1.013387,1.027889
4.115,0.94583,0.934995,0.962081,1.006045,0.967877,0.961452,0.982132,0.978558,0.964264,1.009778,1.011734,1.024445
4.615,0.950338,0.940406,0.965237,1.006045,0.96813,0.961756,0.981169,0.977403,0.962338,1.001973,1.002368,1.004933
5.115,0.95134,0.941608,0.965938,1.003715,0.967429,0.960915,0.981169,0.977403,0.962338,0.995541,0.99465,0.988853
5.615,0.951755,0.942106,0.966229,0.997438,0.96766,0.961192,0.981894,0.978273,0.963788,0.985955,0.983146,0.964886
6.115,0.948578,0.938293,0.964005,1.005268,0.971081,0.965297,0.983734,0.980481,0.967468,0.981655,0.977986,0.954138
6.615,0.950338,0.940406,0.965237,0.994793,0.971177,0.965412,0.984033,0.98084,0.968066,0.97701,0.972412,0.942524
7.115,0.950039,0.940047,0.965027,0.994243,0.969238,0.963086,0.984359,0.981231,0.968718,0.974783,0.96974,0.936958
7.615,0.950706,0.940847,0.965494,0.995828,0.972306,0.966768,0.985894,0.983072,0.971787,0.975967,0.97116,0.939917
8.115,0.952261,0.942713,0.966583,0.994793,0.968059,0.961671,0.98714,0.984568,0.97428,0.978683,0.974419,0.946707
8.615,0.953211,0.943853,0.967247,0.994305,0.96948,0.963376,0.987734,0.985281,0.975469,0.981351,0.977622,0.953379
9.115,0.95893,0.950716,0.971251,0.991454,0.969274,0.963129,0.989816,0.987779,0.979631,0.985107,0.982129,0.962768
9.615,0.957133,0.948559,0.969993,0.991454,0.965402,0.958482,0.990945,0.989134,0.98189,0.990457,0.988549,0.976144
10.115,0.961522,0.953826,0.973065,0.990201,0.962857,0.955428,0.992283,0.99074,0.984566,0.995134,0.994161,0.987836
10.615,0.965919,0.959103,0.976144,0.99172,0.962591,0.955109,0.993121,0.991745,0.986241,0.995796,0.994956,0.989491
11.115,0.968982,0.962779,0.978288,0.994274,0.960674,0.952808,0.993679,0.992415,0.987358,0.997966,0.99756,0.994916
11.615,0.973057,0.967669,0.98114,0.990168,0.960731,0.952877,0.994939,0.993927,0.989878,0.998446,0.998135,0.996114
12.115,0.978418,0.974101,0.984893,0.990115,0.96044,0.952528,0.99625,0.995501,0.992501,0.998036,0.997644,0.995091
12.615,0.987441,0.984929,0.991209,0.987457,0.961489,0.953786,0.996814,0.996177,0.993628,0.997251,0.996701,0.993127
13.115,0.991789,0.990147,0.994252,0.987504,0.963754,0.956505,0.9983,0.997961,0.996601,0.996793,0.996152,0.991983
13.615,0.998368,0.998042,0.998858,0.98819,0.968394,0.962073,0.997362,0.996834,0.994724,0.995134,0.994161,0.987835
14.115,1.006036,1.007243,1.005432,0.987457,0.971081,0.965297,0.998958,0.99875,0.997916,0.995053,0.994064,0.987634
14.615,1.012904,1.015485,1.011614,0.987504,0.976261,0.971513,0.999058,0.99887,0.998117,0.994624,0.993549,0.98656
15.115,1.020154,1.024185,1.018138,0.989485,0.980756,0.976908,0.999315,0.999178,0.998631,0.993489,0.992187,0.983723
15.615,1.024265,1.029119,1.021839,0.990168,0.984001,0.980801,1.000211,1.000253,1.000422,0.994137,0.992964,0.985342
16.115,1.031288,1.037546,1.028159,0.990135,0.987636,0.985163,1.000909,1.001091,1.001818,0.993951,0.992741,0.984878
16.615,1.033874,1.040649,1.030487,0.991986,0.991281,0.989537,1.001628,1.001953,1.003255,0.993454,0.992144,0.983634
