Condition,VH + ζ + 221 + Her 1,VH + ζ + 221 + Her 2,VH + ζ + 221 + Her 3,VL + ζ + 221 + Her 1,VL + ζ + 221 + Her 2,VL + ζ + 221 + Her 3,VH + ζ + 221 1,VH + ζ + 221 2,VH + ζ + 221 3,VL + ζ + 221 1,VL + ζ + 221 2,VL + ζ + 221 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
0.615,0.913745,0.896495,0.939622,0.975275,0.97033,0.982693,1.057182,1.068618,1.051464,0.97045,0.96454,0.979315,,,,,,,
1.115,0.92412,0.908943,0.946884,0.957586,0.949103,0.97031,1.01912,1.022944,1.017208,0.975691,0.970829,0.982984,,,,,,,
1.615,0.936478,0.923773,0.955534,0.948459,0.938151,0.963921,1.010536,1.012643,1.009482,1.003429,1.004115,1.003087,,,,,,, 
2.115,0.964969,0.957963,0.975478,0.955113,0.946136,0.968579,1.002295,1.002754,1.002065,0.993899,0.992678,0.995729,,,,,,,
2.615,0.969779,0.963734,0.978845,0.958178,0.949814,0.970725,0.999759,0.999711,0.999831,0.993443,0.992132,0.99541,,,,,,,
3.115,0.980883,0.97706,0.986618,0.96393,0.956716,0.974751,1.003451,1.004141,1.003106,0.99526,0.994312,0.996682,,,,,,,
3.615,0.981075,0.97729,0.986752,0.965642,0.95877,0.975949,1.008439,1.010127,1.007595,1.002892,1.00347,1.002602,,,,,,,
4.115,0.983185,0.979822,0.98823,0.958278,0.949934,0.970795,1.010725,1.01287,1.009652,1.000516,1.000619,1.000464,,,,,,,
4.615,0.979647,0.975577,0.985753,0.96141,0.953692,0.972987,1.009275,1.01113,1.008348,0.998088,0.997705,0.998661,,,,,,,
5.115,0.980044,0.976053,0.986031,0.96474,0.957688,0.975318,1.007309,1.00877,1.006578,0.997158,0.99659,0.998011,,,,,,,
5.615,0.977753,0.973303,0.984427,0.965363,0.958436,0.975754,1.006973,1.008368,1.006276,0.994116,0.992939,0.995881,,,,,,,
6.115,0.980331,0.976397,0.986231,0.966488,0.959786,0.976542,1.006446,1.007735,1.005801,0.996189,0.995427,0.997332,,,,,,,
6.615,0.981344,0.977612,0.986941,0.96429,0.957148,0.975003,1.002631,1.003157,1.002368,0.993206,0.991847,0.995244,,,,,,,
7.115,0.98149,0.977788,0.987043,0.963784,0.956541,0.974649,1.000597,1.000716,1.000537,0.99394,0.992728,0.995758,,,,,,,
7.615,0.981004,0.977204,0.986703,0.964102,0.956922,0.974871,1.000994,1.001193,1.000895,0.99086,0.989032,0.993602,,,,,,,
8.115,0.980441,0.976529,0.986309,0.969284,0.963141,0.978499,0.99993,0.999915,0.999951,0.993295,0.991954,0.995306,,,,,,,
8.615,0.982102,0.978522,0.987471,0.967787,0.961344,0.977451,0.998582,0.998298,0.999007,0.993534,0.99224,0.995474,,,,,,,
9.115,0.982102,0.978522,0.987471,0.971537,0.965844,0.980076,0.996651,0.995981,0.997656,0.990246,0.988295,0.993172,,,,,,,
9.615,0.98373,0.980476,0.988611,0.975696,0.970835,0.982987,0.992301,0.990762,0.994611,0.986636,0.983963,0.990645,,,,,,,
10.115,0.983091,0.979709,0.988164,0.979355,0.975226,0.985549,0.990345,0.988414,0.993241,0.986636,0.983963,0.990645,,,,,,,
10.615,0.98743,0.984917,0.991201,0.982738,0.979286,0.987917,0.985815,0.982978,0.990071,0.982694,0.979233,0.987886,,,,,,,
11.115,0.9858,0.98296,0.99006,0.985508,0.98261,0.989856,0.983479,0.980175,0.988435,0.982216,0.978659,0.987551,,,,,,,
11.615,0.987133,0.98456,0.990993,0.988788,0.986546,0.992152,0.979927,0.975912,0.985949,0.98362,0.980344,0.988534,,,,,,,
12.115,0.98756,0.985072,0.991292,0.992273,0.990728,0.994591,0.977497,0.972997,0.984248,0.985954,0.983145,0.990168,,,,,,,
12.615,0.987863,0.985436,0.991504,0.997355,0.996826,0.998149,0.976865,0.972238,0.983806,0.98489,0.981868,0.989423,,,,,,,
13.115,0.990019,0.988023,0.993013,1.000542,1.00065,1.000488,0.976141,0.971369,0.983299,0.986467,0.98376,0.990527,,,,,,,
13.615,0.991451,0.989742,0.994016,1.002877,1.003452,1.002589,0.976501,0.971801,0.98355,0.988871,0.986645,0.99221,,,,,,,
