Condition,VH Zeta + 221 WT 1,VH Zeta + 221 WT 2,VH Zeta + 221 WT 3,VL Zeta + 221 WT 1,VL Zeta + 221 WT 2,VL Zeta + 221 WT 3,VH Zeta + 221 CD58KO 1,VH Zeta + 221 CD58KO 2,VH Zeta + 221 CD58KO 3,VL Zeta + 221 CD58KO 1,VL Zeta + 221 CD58KO 2,VL Zeta + 221 CD58KO 3,,,,,,,
Seconds,,,,,,,,,,,,,,,,,,,
0.615,1.225991,0.913745421,0.991057333,0.975275,1.000069,0.980878,1.039407,0.95052,0.983245,0.965986,0.978438,0.99821,,,,,,,
1.115,1.313562,0.924119572,0.987337333,0.957586,1.0005,0.991272,1.007468,0.979894,0.97465,0.981162,0.995604,0.99705,,,,,,,
1.615,0.654267,0.936477549,0.981561333,0.948459,1.000924,0.98545,1.003423,0.975592,0.965669,0.971857,0.988466,0.996027,,,,,,, 
2.115,0.582739,0.964969266,0.979345667,0.955113,1.000109,0.987965333,0.995106,0.978075,0.964856,0.985289,0.981913,0.996694,,,,,,,
2.615,0.617919,0.969778591,0.977859667,0.958178,1.000414,0.989865,1.001153,0.973506,0.95892,0.986739,0.983046,0.99981,,,,,,,
3.115,0.674656,0.980883231,0.979172333,0.96393,1.001322,0.991896333,1.002655,0.973167,0.961695,0.983921,0.979953,1.011815,,,,,,,
3.615,1.456969,0.98107489,0.977432667,0.965642,1.00004,0.996492667,0.996006,0.973718,0.962574,0.986939,0.978879,1.02366,,,,,,,
4.115,1.479641,0.983185108,0.979318333,0.958278,0.999833,0.99286,0.993484,0.976418,0.968053,0.987092,0.977468,1.01402,,,,,,,
4.615,1.475827,0.979647101,0.97912,0.96141,0.999932,0.989380333,0.991642,0.973167,0.972551,0.987583,0.977358,1.0032,,,,,,,
5.115,1.443093,0.980044099,0.981966,0.96474,0.999833,0.989267667,0.994602,0.97447,0.976826,0.990251,0.977974,0.999578,,,,,,,
5.615,1.438261,0.977752882,0.984338,0.965363,0.999964,0.988989333,0.994387,0.977995,0.980632,0.991458,0.977642,0.997868,,,,,,,
6.115,1.144446,0.980330574,0.983978667,0.966488,0.999941,0.987889667,0.994602,0.975004,0.98233,0.989331,0.977178,0.99716,,,,,,,
6.615,1.472305,0.981343606,0.985710333,0.96429,0.999885,0.987889,0.992638,0.979308,0.985185,0.989593,0.977358,0.996716,,,,,,,
7.115,1.483459,0.981489858,0.986522667,0.963784,0.999931,0.987250667,0.992699,0.979565,0.987304,0.989593,0.976864,0.995295,,,,,,,
7.615,0.920378,0.981003734,0.987685,0.964102,0.999951,0.987164,0.991599,0.982874,0.988582,0.988848,0.979032,0.993612,,,,,,,
8.115,0.86648,0.980441097,0.988120667,0.969284,0.999998,0.98754,0.992821,0.981552,0.989989,0.988521,0.980053,0.994046,,,,,,,
8.615,0.782541,0.982101959,0.989419,0.967787,0.999932,0.988381667,0.993406,0.983165,0.991686,0.991198,0.97989,0.994057,,,,,,,
9.115,0.703384,0.982101959,0.990744667,0.971537,0.999924,0.988551333,0.993909,0.984641,0.993684,0.991458,0.980992,0.993204,,,,,,,
9.615,0.651927,0.983730366,0.992288,0.975696,0.999856,0.989746333,0.992878,0.989359,0.994627,0.992351,0.983731,0.993157,,,,,,,
10.115,0.628788,0.983090768,0.993423333,0.979355,0.999843,0.989882333,0.992742,0.991425,0.996103,0.991458,0.985007,0.993182,,,,,,,
10.615,0.561391,0.987430456,0.994336667,0.982738,0.999834,0.991255667,0.992811,0.992681,0.997518,0.991829,0.988386,0.993552,,,,,,,
11.115,0.573087,0.98580003,0.995696,0.985508,0.999938,0.992264333,0.992706,0.994818,0.999564,0.991727,0.990497,0.994569,,,,,,,
11.615,0.556177,0.987132935,0.99722,0.988788,0.999903,0.993472333,0.992674,0.995752,1.003234,0.992701,0.993135,0.994581,,,,,,,
12.115,0.566598,0.987559983,0.998955667,0.992273,0.999836,0.994256,0.992742,0.998425,1.0057,0.993457,0.994304,0.995007,,,,,,,
12.615,0.590808,0.987863129,1.001071,0.997355,0.999849,0.995434,0.992578,1.001554,1.009081,0.994958,0.995626,0.995718,,,,,,,
13.115,0.602858,0.990019103,1.004351333,1.000542,0.999801,0.996456333,0.992811,1.004979,1.015264,0.995318,0.997551,0.9965,,,,,,,
13.615,0.595421,0.991451477,1.007603667,1.002877,0.999859,0.997934,0.992935,1.010811,1.019065,0.996691,0.999841,0.99727,,,,,,,
14.115,0.590412,0.992367688,1.007442667,1.006989,0.99984,0.998538667,0.992879,1.009996,1.019453,0.996522,1.000884,0.99821,,,,,,,
14.615,0.590412,0.989974252,1.011531333,1.009152,0.999881,0.999727333,0.992971,1.017138,1.024485,0.996258,1.004714,0.99821,,,,,,,
15.115,0.604786,0.987863129,1.013692,1.01194,0.999874,0.999959333,0.992971,1.022253,1.025852,0.996691,1.00523,0.997957,,,,,,,
15.615,0.66191,0.993604403,1.015269333,1.012236,0.99987,1.001730333,0.993378,1.025238,1.027192,0.997714,1.00953,0.997947,,,,,,,
16.115,0.666419,1.001651494,1.015818667,1.013836,0.999853,1.003224,0.993828,1.02493,1.028698,0.998047,1.013234,0.998391,,,,,,,
16.615,0.666734,1.004731703,1.016531,1.013924,0.999876,1.005191333,0.994645,1.024625,1.030323,0.999751,1.01609,0.999733,,,,,,,
17.115,0.681393,1.005942244,1.017954333,1.016198,0.999885,1.007144667,0.995014,1.028603,1.030246,1.003382,1.018283,0.999769,,,,,,,
17.615,0.690478,1.008584275,1.019714,1.015614,0.99986,1.011590333,0.996746,1.030407,1.031989,1.006574,1.026813,1.001384,,,,,,,
18.115,0.690478,1.012859931,1.021722333,1.017638,0.99985,1.012373667,0.997767,1.033214,1.034186,1.007891,1.029474,0.999756,,,,,,,
18.615,0.714069,1.016117183,1.022961667,1.018134,0.999738,1.015112,0.998227,1.035378,1.03528,1.01248,1.033106,0.99975,,,,,,,
