 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,1405.564,255,19.059,18.437,19.059,18.437,0.135,1.034,0.967,1.000
2,1405.564,255,19.059,18.437,19.059,18.437,0.135,1.034,0.967,1.000
3,1405.564,255,19.059,18.437,19.059,18.437,0.135,1.034,0.967,1.000
4,1.373,0,23.202,17.919,23.202,17.919,0.914,1.040,0.962,0.800
5,1.888,0,23.108,18.400,23.108,18.400,0.637,4.156,0.241,0.324
6,7.038,0,22.611,18.761,22.611,18.761,0.253,1.463,0.684,0.183
7,8.068,0,21.205,18.340,21.205,18.340,0.140,1.461,0.684,0.247
8,19.913,0,20.916,18.816,20.916,18.816,0.249,1.159,0.863,0.587
9,22.659,0,20.600,19.052,20.600,19.052,0.254,1.294,0.773,0.698
10,23.003,0,20.518,19.003,20.518,19.003,0.406,1.303,0.767,0.770
11,30.556,0,20.071,19.492,20.071,19.492,0.630,1.372,0.729,0.818
12,32.444,0,19.930,19.402,19.930,19.402,0.554,1.167,0.857,0.797
13,32.787,0,20.090,19.535,20.090,19.535,0.783,1.100,0.909,0.866
14,32.616,0,19.883,19.706,19.883,19.706,0.580,1.101,0.908,0.779
15,32.272,0,19.740,19.464,19.740,19.464,0.545,1.108,0.902,0.839
16,34.161,0,19.160,19.670,19.160,19.670,0.536,1.126,0.888,0.743
17,30.899,0,18.748,20.055,18.748,20.055,0.729,1.088,0.919,0.831
18,32.787,0,18.129,20.693,18.129,20.693,0.554,1.235,0.809,0.796
19,29.011,0,18.501,20.950,18.501,20.950,0.708,1.062,0.941,0.851
20,32.272,0,18.642,21.179,18.642,21.179,0.551,1.131,0.884,0.826
21,31.757,0,18.549,21.042,18.549,21.042,0.695,1.205,0.830,0.843
22,33.474,0,18.688,21.068,18.688,21.068,0.658,1.142,0.876,0.814
23,33.302,0,18.593,21.583,18.593,21.583,0.741,1.158,0.863,0.853
24,30.899,0,18.792,21.476,18.792,21.476,0.802,1.128,0.886,0.716
25,28.152,0,19.079,21.370,19.079,21.370,0.863,1.136,0.880,0.904
26,28.152,0,19.205,21.252,19.205,21.252,0.639,1.067,0.937,0.822
27,27.294,0,19.454,21.199,19.454,21.199,0.923,1.109,0.902,0.919
28,25.578,0,19.335,21.443,19.335,21.443,0.897,1.140,0.877,0.911
29,24.548,0,19.460,21.465,19.460,21.465,0.916,1.126,0.888,0.923
30,24.891,0,19.489,21.818,19.489,21.818,0.748,1.071,0.934,0.746
31,26.093,0,19.220,22.313,19.220,22.313,0.569,1.478,0.677,0.734
