 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,3194.962,255,29.210,27.345,29.210,27.345,0.135,1.068,0.936,1.000
2,3194.962,255,29.210,27.345,29.210,27.345,0.135,1.068,0.936,1.000
3,11.673,0,40.945,26.169,40.945,26.169,0.241,2.462,0.406,0.374
4,37.422,0,41.672,26.682,41.672,26.682,0.119,1.535,0.651,0.424
5,63.858,0,41.983,27.436,41.983,27.436,0.162,1.381,0.724,0.616
6,80.166,0,42.337,27.661,42.337,27.661,0.313,1.369,0.730,0.776
7,83.942,0,42.386,27.430,42.386,27.430,0.364,1.268,0.789,0.770
8,87.891,0,42.401,27.170,42.401,27.170,0.392,1.248,0.802,0.804
9,87.032,0,42.599,26.786,42.599,26.786,0.480,1.143,0.875,0.826
10,84.457,0,42.981,26.021,42.981,26.021,0.498,1.118,0.894,0.801
11,86.174,0,42.794,25.430,42.794,25.430,0.281,1.076,0.929,0.702
12,84.972,0,42.983,25.086,42.983,25.086,0.204,1.144,0.874,0.611
13,83.256,0,42.596,24.468,42.596,24.468,0.189,1.320,0.758,0.545
14,80.681,0,42.173,24.426,42.173,24.426,0.186,1.601,0.624,0.543
15,83.084,0,42.043,24.093,42.043,24.093,0.169,1.795,0.557,0.529
16,89.779,0,41.844,23.495,41.844,23.495,0.132,1.940,0.515,0.502
17,91.152,0,41.865,23.063,41.865,23.063,0.156,2.096,0.477,0.545
18,89.092,0,42.037,22.956,42.037,22.956,0.148,2.075,0.482,0.531
19,91.667,0,41.894,23.009,41.894,23.009,0.144,2.128,0.470,0.523
20,90.466,0,41.812,22.991,41.812,22.991,0.155,2.208,0.453,0.543
21,94.414,0,41.841,22.620,41.841,22.620,0.167,2.383,0.420,0.558
22,95.100,0,41.656,22.561,41.656,22.561,0.185,2.342,0.427,0.583
23,95.959,0,41.582,22.549,41.582,22.549,0.200,2.329,0.429,0.560
24,94.414,0,41.460,22.700,41.460,22.700,0.200,2.325,0.430,0.552
25,96.817,0,41.428,22.852,41.428,22.852,0.189,2.386,0.419,0.590
26,98.877,0,41.296,22.920,41.296,22.920,0.185,2.298,0.435,0.588
27,99.049,0,41.235,22.881,41.235,22.881,0.214,2.145,0.466,0.586
28,102.997,0,41.088,22.999,41.088,22.999,0.184,2.124,0.471,0.585
29,100.250,0,41.184,23.196,41.184,23.196,0.215,2.241,0.446,0.620
30,99.049,0,40.949,23.041,40.949,23.041,0.229,2.139,0.468,0.619
31,96.989,0,41.102,23.281,41.102,23.281,0.202,2.197,0.455,0.585
