 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,27.123,0,28.342,28.947,28.342,28.947,0.804,1.160,0.862,0.863
2,24.548,0,28.436,28.734,28.436,28.734,0.688,1.139,0.878,0.815
3,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
4,21.286,0,28.615,28.561,28.615,28.561,0.411,1.245,0.803,0.777
5,27.981,0,28.760,28.645,28.760,28.645,0.858,1.076,0.929,0.893
6,26.436,0,28.731,28.599,28.731,28.599,0.814,1.123,0.890,0.856
7,25.063,0,28.787,28.639,28.787,28.639,0.753,1.265,0.791,0.869
8,21.114,0,28.721,28.475,28.721,28.475,0.864,1.332,0.751,0.911
9,17.338,0,28.795,28.594,28.795,28.594,0.840,1.227,0.815,0.882
10,14.420,0,28.632,28.682,28.632,28.682,0.720,1.326,0.754,0.820
11,10.815,0,28.664,28.506,28.664,28.506,0.630,1.198,0.835,0.746
12,9.613,0,28.507,28.381,28.507,28.381,0.750,1.530,0.654,0.824
13,3.090,0,28.588,28.841,28.588,28.841,0.514,2.111,0.474,0.600
14,0.343,0,27.759,28.795,27.759,28.795,1.000,2.000,0.500,1.000
15,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
16,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
17,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
18,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
19,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
20,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
21,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
22,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
23,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
24,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
25,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
26,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
27,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
28,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
29,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
30,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
31,3308.258,255,30.245,27.345,30.245,27.345,0.134,1.106,0.904,1.000
