 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
2,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
3,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
4,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
5,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
6,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
7,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
8,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
9,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
10,2324.639,255,25.274,22.995,25.274,22.995,0.135,1.099,0.910,1.000
11,42.572,0,20.016,23.306,20.016,23.306,0.160,1.264,0.791,0.519
12,80.853,0,19.647,23.984,19.647,23.984,0.439,1.373,0.728,0.773
13,78.793,0,20.000,24.481,20.000,24.481,0.175,1.340,0.746,0.627
14,85.487,0,22.752,24.048,22.752,24.048,0.257,1.433,0.698,0.690
15,101.624,0,20.794,26.283,20.794,26.283,0.174,1.212,0.825,0.476
16,109.863,0,20.734,26.687,20.734,26.687,0.192,2.409,0.415,0.627
17,115.013,0,20.036,27.377,20.036,27.377,0.265,1.820,0.549,0.704
18,118.446,0,22.399,28.315,22.399,28.315,0.155,1.592,0.628,0.564
19,110.378,0,24.799,27.243,24.799,27.243,0.245,1.448,0.691,0.615
20,108.318,0,23.366,30.588,23.366,30.588,0.191,2.591,0.386,0.673
21,93.040,0,22.051,29.358,22.051,29.358,0.255,1.520,0.658,0.548
22,93.040,0,21.164,25.515,21.164,25.515,0.214,1.511,0.662,0.587
23,88.406,0,20.030,28.866,20.030,28.866,0.088,1.514,0.661,0.435
24,96.474,0,22.328,33.831,22.328,33.831,0.213,1.745,0.573,0.692
25,93.555,0,20.769,35.527,20.769,35.527,0.285,1.872,0.534,0.678
26,77.248,0,17.774,32.533,17.774,32.533,0.450,1.934,0.517,0.723
27,73.643,0,23.398,31.921,23.398,31.921,0.222,1.695,0.590,0.548
28,112.953,0,24.617,31.679,24.617,31.679,0.323,2.057,0.486,0.673
29,56.648,0,19.069,32.135,19.069,32.135,0.440,1.452,0.689,0.664
30,72.956,0,17.055,31.771,17.055,31.771,0.331,1.803,0.555,0.641
31,71.926,0,22.511,30.599,22.511,30.599,0.311,1.422,0.703,0.610
