 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,3.262,0,22.362,20.247,22.362,20.247,0.265,7.380,0.136,0.106
2,11.501,0,21.412,19.773,21.412,19.773,0.350,5.179,0.193,0.270
3,7.553,0,19.162,23.183,19.162,23.183,0.318,4.587,0.218,0.230
4,26.779,0,23.059,19.075,23.059,19.075,0.490,1.966,0.509,0.511
5,31.242,0,22.687,19.744,22.687,19.744,0.423,2.122,0.471,0.490
6,25.234,0,22.902,20.021,22.902,20.021,0.520,2.140,0.467,0.523
7,24.719,0,22.837,19.853,22.837,19.853,0.854,1.236,0.809,0.909
8,23.861,0,23.206,19.254,23.206,19.254,0.868,1.325,0.755,0.906
9,16.651,0,23.187,19.983,23.187,19.983,0.730,2.095,0.477,0.829
10,11.673,0,22.489,20.588,22.489,20.588,0.803,2.072,0.483,0.861
11,7.381,0,21.077,21.212,21.077,21.212,0.867,1.275,0.784,0.896
12,6.008,0,21.586,21.255,21.586,21.255,0.947,1.410,0.709,0.875
13,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
14,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
15,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
16,2.575,0,20.039,22.498,20.039,22.498,0.481,2.257,0.443,0.638
17,6.008,0,21.089,22.450,21.089,22.450,0.897,1.267,0.789,0.864
18,0.172,0,20.923,21.752,20.923,21.752,1.000,1.000,1.000,1.000
19,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
20,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
21,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
22,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
23,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
24,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
25,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
26,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
27,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
28,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
29,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
30,0.172,0,16.366,15.123,16.366,15.123,1.000,1.000,1.000,1.000
31,1819.611,255,21.959,20.716,21.959,20.716,0.135,1.060,0.943,1.000
