 ,Area,Mean,X,Y,XM,YM,Circ.,AR,Round,Solidity
1,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
2,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
3,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
4,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
5,0.515,0,45.644,48.545,45.644,48.545,1.000,1.464,0.683,0.857
6,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
7,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
8,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
9,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
10,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
11,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
12,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
13,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
14,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
15,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
16,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
17,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
18,22.144,0,17.779,12.727,17.779,12.727,0.818,1.280,0.781,0.872
19,48.237,0,16.978,11.976,16.978,11.976,0.778,1.291,0.775,0.893
20,57.163,0,16.690,11.904,16.690,11.904,0.703,1.350,0.741,0.911
21,52.528,0,17.326,11.189,17.326,11.189,0.690,1.177,0.850,0.905
22,39.825,0,18.203,10.822,18.203,10.822,0.841,1.306,0.766,0.921
23,29.869,0,18.297,10.308,18.297,10.308,0.877,1.422,0.703,0.918
24,33.817,0,17.703,11.890,17.703,11.890,0.480,2.705,0.370,0.255
25,1.717,0,19.183,12.512,19.183,12.512,1.000,1.559,0.641,0.909
26,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
27,0.343,0,19.887,9.737,19.887,9.737,1.000,2.000,0.500,1.000
28,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
29,0.172,0,45.782,33.353,45.782,33.353,1.000,1.000,1.000,1.000
30,0.343,0,0.207,35.839,0.207,35.839,0.785,62.362,0.016,0.054
31,2248.421,255,22.995,24.445,22.995,24.445,0.135,1.063,0.941,1.000
